row_label_raw,row_label_full,col_0,Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,TổngVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,32.267.433.454,48.043.951.084,18.636.363.636,98.947.748.174,32267433454.0,48043951084.0,18636363636.0,98947748174.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,13.389.448.333,9.560.000.000,-,22.949.448.333,13389448333.0,9560000000.0,,22949448333.0
Chuyển sang tài sảncố định hữu hình,Nguyên giá > Chuyển sang tài sảncố định hữu hình,Chuyển sang tài sảncố định hữu hình,(32.267.433.454),(13.231.994.717),-,(45.499.428.171),-32267433454.0,-13231994717.0,,-45499428171.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,13.389.448.333,44.371.956.367,18.636.363.636,76.397.768.336,13389448333.0,44371956367.0,18636363636.0,76397768336.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,11.513.583.443,5.961.606.343,209.339.975,17.684.529.761,11513583443.0,5961606343.0,209339975.0,17684529761.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,6.360.216.810,7.510.458.649,1.863.636.363,15.734.311.822,6360216810.0,7510458649.0,1863636363.0,15734311822.0
Chuyển sang tài sảncố định hữu hình,Giá trị hao mòn lũy kế > Chuyển sang tài sảncố định hữu hình,Chuyển sang tài sảncố định hữu hình,(17.087.537.128),(5.242.661.931),-,(22.330.199.059),-17087537128.0,-5242661931.0,,-22330199059.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,786.263.125,8.229.403.061,2.072.976.338,11.088.642.524,786263125.0,8229403061.0,2072976338.0,11088642524.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,20.753.850.011,42.082.344.741,18.427.023.661,81.263.218.413,20753850011.0,42082344741.0,18427023661.0,81263218413.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,12.603.185.208,36.142.553.306,16.563.387.298,65.309.125.812,12603185208.0,36142553306.0,16563387298.0,65309125812.0
