row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2019VND,30/9/2018VND,,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty TNHH Một Thành Viên Tôn Hoa Sen,Công ty TNHH Một Thành Viên Tôn Hoa Sen,Công ty TNHH Một Thành Viên Tôn Hoa Sen,Công ty TNHH Một Thành Viên Tôn Hoa Sen,Công ty TNHH Một Thành Viên Tôn Hoa Sen,,
Bán hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Bán hàng hóa và thành phẩm,Bán hàng hóa và thành phẩm,10.277.637.796.063,13.779.143.441.900,10277637796063.0,13779143441900.0
Mua hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,11.771.372.054.729,14.995.785.607.702,11771372054729.0,14995785607702.0
Điều chuyển/bán tài sản cố định,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Điều chuyển/bán tài sản cố định,Điều chuyển/bán tài sản cố định,205.664.635,888.237.430.939,205664635.0,888237430939.0
Hàng bán bị trả lại,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Hàng bán bị trả lại,Hàng bán bị trả lại,-,1.980.258.020,,1980258020.0
Trả lại hàng mua,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Trả lại hàng mua,Trả lại hàng mua,297.325.320,2.510.365.445,297325320.0,2510365445.0
Lợi nhuận được chia,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Lợi nhuận được chia,Lợi nhuận được chia,8.123.622.505,34.568.169.073,8123622505.0,34568169073.0
Chi hộ,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Chi hộ,Chi hộ,130.869.456.620,152.580.172.648,130869456620.0,152580172648.0
Bán khác,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Bán khác,Bán khác,2.548.006.364,4.783.074.700,2548006364.0,4783074700.0
Mua khác,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Mua khác,Mua khác,144.292.898,80.969.500,144292898.0,80969500.0
Công ty TNHH Một Thành Viên Vật liệu Xây dựng,Công ty TNHH Một Thành Viên Vật liệu Xây dựng,Công ty TNHH Một Thành Viên Vật liệu Xây dựng,Công ty TNHH Một Thành Viên Vật liệu Xây dựng,Công ty TNHH Một Thành Viên Vật liệu Xây dựng,,
Hoa Sen,Hoa Sen,Hoa Sen,Hoa Sen,Hoa Sen,,
Bán hàng hóa và thành phẩm,Hoa Sen > Bán hàng hóa và thành phẩm,Bán hàng hóa và thành phẩm,4.564.914.020.422,4.827.327.999.833,4564914020422.0,4827327999833.0
Mua hàng hóa và thành phẩm,Hoa Sen > Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,3.196.114.481.029,3.715.489.723.137,3196114481029.0,3715489723137.0
Bán tài sản cố định,Hoa Sen > Bán tài sản cố định,Bán tài sản cố định,4.771.478.579,87.000.000,4771478579.0,87000000.0
Mua tài sản cố định,Hoa Sen > Mua tài sản cố định,Mua tài sản cố định,1.389.200.000,136.202.200,1389200000.0,136202200.0
Doanh thu từ cho thuê tài sản,Hoa Sen > Doanh thu từ cho thuê tài sản,Doanh thu từ cho thuê tài sản,174.500.000,88.409.095,174500000.0,88409095.0
Chi phí thuê,Hoa Sen > Chi phí thuê,Chi phí thuê,258.946.015,100.000.010,258946015.0,100000010.0
Hàng bán bị trả lại,Hoa Sen > Hàng bán bị trả lại,Hàng bán bị trả lại,1.562.510.453,1.329.668.691,1562510453.0,1329668691.0
Lợi nhuận được chia,Hoa Sen > Lợi nhuận được chia,Lợi nhuận được chia,105.647.612.793,144.875.735.339,105647612793.0,144875735339.0
Trả lại hàng mua/hàng mua được giảm giá,Hoa Sen > Trả lại hàng mua/hàng mua được giảm giá,Trả lại hàng mua/hàng mua được giảm giá,607.336.952,-,607336952.0,
Công ty TNHH Một Thành Viên Vận tải và Cơ khí,Công ty TNHH Một Thành Viên Vận tải và Cơ khí,Công ty TNHH Một Thành Viên Vận tải và Cơ khí,Công ty TNHH Một Thành Viên Vận tải và Cơ khí,Công ty TNHH Một Thành Viên Vận tải và Cơ khí,,
Hoa Sen,Hoa Sen,Hoa Sen,Hoa Sen,Hoa Sen,,
Mua hàng hóa và thành phẩm,Hoa Sen > Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,33.406.182,401.957.962,33406182.0,401957962.0
Mua tài sản cố định,Hoa Sen > Mua tài sản cố định,Mua tài sản cố định,2.657.188.816,100.000.000,2657188816.0,100000000.0
Doanh thu từ cho thuê tài sản,Hoa Sen > Doanh thu từ cho thuê tài sản,Doanh thu từ cho thuê tài sản,3.614.419.336,7.956.000.000,3614419336.0,7956000000.0
Chi phí vận chuyển,Hoa Sen > Chi phí vận chuyển,Chi phí vận chuyển,17.253.777.856,48.534.481.409,17253777856.0,48534481409.0
Chi phí thuê,Hoa Sen > Chi phí thuê,Chi phí thuê,176.000.000,607.696.966,176000000.0,607696966.0
Lợi nhuận được chia,Hoa Sen > Lợi nhuận được chia,Lợi nhuận được chia,203.168.212,5.818.027.378,203168212.0,5818027378.0
