row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2019VND,30/9/2018VND,,
Công ty TNHH Một Thành Viên Hoa Sen Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Bình Định,,
Bán hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Hoa Sen Bình Định > Bán hàng hóa và thành phẩm,Bán hàng hóa và thành phẩm,4.131.136.670,24.296.754.944,4131136670.0,24296754944.0
Mua hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Hoa Sen Bình Định > Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,1.488.664.532.969,1.082.877.495.563,1488664532969.0,1082877495563.0
Góp vốn,Công ty TNHH Một Thành Viên Hoa Sen Bình Định > Góp vốn,Góp vốn,-,50.000.000.000,,50000000000.0
Lợi nhuận được chia,Công ty TNHH Một Thành Viên Hoa Sen Bình Định > Lợi nhuận được chia,Lợi nhuận được chia,6.627.350.999,11.529.995.357,6627350999.0,11529995357.0
Bán tài sản cố định,Công ty TNHH Một Thành Viên Hoa Sen Bình Định > Bán tài sản cố định,Bán tài sản cố định,10.000.000,-,10000000.0,
Công ty TNHH Một Thành Viên Hoa Sen Nghệ An,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An,,
Bán hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An > Bán hàng hóa và thành phẩm,Bán hàng hóa và thành phẩm,4.375.691.067.150,9.626.602.855.004,4375691067150.0,9626602855004.0
Mua hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An > Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,4.983.188.835.106,7.502.610.322.840,4983188835106.0,7502610322840.0
Bán tài sản cố định,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An > Bán tài sản cố định,Bán tài sản cố định,1.156.685.588,5.913.155.809,1156685588.0,5913155809.0
Mua tài sản cố định,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An > Mua tài sản cố định,Mua tài sản cố định,1.138.870.440,-,1138870440.0,
Doanh thu từ cho thuê tài sản,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An > Doanh thu từ cho thuê tài sản,Doanh thu từ cho thuê tài sản,-,38.000.000,,38000000.0
Trả lại hàng mua,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An > Trả lại hàng mua,Trả lại hàng mua,4.851.635.477,6.407.186.748,4851635477.0,6407186748.0
Hàng mua được giảm giá,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An > Hàng mua được giảm giá,Hàng mua được giảm giá,251.036.621,168.333.118,251036621.0,168333118.0
Chi phí thuê,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An > Chi phí thuê,Chi phí thuê,372.111.833,327.272.724,372111833.0,327272724.0
Góp vốn,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An > Góp vốn,Góp vốn,-,650.000.000.000,,650000000000.0
Lợi nhuận được chia,Công ty TNHH Một Thành Viên Hoa Sen Nghệ An > Lợi nhuận được chia,Lợi nhuận được chia,215.594.389.876,161.600.175.097,215594389876.0,161600175097.0
Công ty TNHH Một Thành Viên Hoa Sen Nhơn Hội -Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Nhơn Hội -Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Nhơn Hội -Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Nhơn Hội -Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Nhơn Hội -Bình Định,,
Bán hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Hoa Sen Nhơn Hội -Bình Định > Bán hàng hóa và thành phẩm,Bán hàng hóa và thành phẩm,1.710.398.642.772,1.416.755.238.005,1710398642772.0,1416755238005.0
Mua hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Hoa Sen Nhơn Hội -Bình Định > Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,1.518.416.136.050,1.224.289.168.009,1518416136050.0,1224289168009.0
Bán tài sản cố định,Công ty TNHH Một Thành Viên Hoa Sen Nhơn Hội -Bình Định > Bán tài sản cố định,Bán tài sản cố định,1.747.943.215,-,1747943215.0,
Hàng bán bị trả lại,Công ty TNHH Một Thành Viên Hoa Sen Nhơn Hội -Bình Định > Hàng bán bị trả lại,Hàng bán bị trả lại,275.373.509,154.174.786,275373509.0,154174786.0
Trả lại hàng mua,Công ty TNHH Một Thành Viên Hoa Sen Nhơn Hội -Bình Định > Trả lại hàng mua,Trả lại hàng mua,611.276.883,1.804.591.517,611276883.0,1804591517.0
Thu nhập từ tiền lãi,Công ty TNHH Một Thành Viên Hoa Sen Nhơn Hội -Bình Định > Thu nhập từ tiền lãi,Thu nhập từ tiền lãi,-,708.702.055,,708702055.0
Góp vốn,Công ty TNHH Một Thành Viên Hoa Sen Nhơn Hội -Bình Định > Góp vốn,Góp vốn,350.000.000.000,220.000.000.000,350000000000.0,220000000000.0
Cho vay,Công ty TNHH Một Thành Viên Hoa Sen Nhơn Hội -Bình Định > Cho vay,Cho vay,-,132.500.000.000,,132500000000.0
Bán khác,Công ty TNHH Một Thành Viên Hoa Sen Nhơn Hội -Bình Định > Bán khác,Bán khác,68.053.769,-,68053769.0,
Công ty TNHH Một Thành Viên Hoa Sen Hà Nam,Công ty TNHH Một Thành Viên Hoa Sen Hà Nam,Công ty TNHH Một Thành Viên Hoa Sen Hà Nam,Công ty TNHH Một Thành Viên Hoa Sen Hà Nam,Công ty TNHH Một Thành Viên Hoa Sen Hà Nam,,
Bán hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Hoa Sen Hà Nam > Bán hàng hóa và thành phẩm,Bán hàng hóa và thành phẩm,3.130.344.289,44.779.573.986,3130344289.0,44779573986.0
