row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2019VND,30/9/2018VND,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,28.307.339.690,247.666.367.726,28307339690.0,247666367726.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,35.426.731.027,71.050.520.158,35426731027.0,71050520158.0
Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(35.600.067.512),(277.353.929.013),-35600067512.0,-277353929013.0
Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,-,(700.000.000),,-700000000.0
Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(11.170.150.833),(9.827.761.767),-11170150833.0,-9827761767.0
Thanh lý,Thanh lý,Thanh lý,(476.066.951),(2.527.857.414),-476066951.0,-2527857414.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,16.487.785.421,28.307.339.690,16487785421.0,28307339690.0
Các công trình xây dựng cơ bản dở dang lớn như sau:,Các công trình xây dựng cơ bản dở dang lớn như sau:,Các công trình xây dựng cơ bản dở dang lớn như sau:,Các công trình xây dựng cơ bản dở dang lớn như sau:,Các công trình xây dựng cơ bản dở dang lớn như sau:,,
,,,30/9/2019VND,1/10/2018VND,,
"Máy móc, thiết bị chờ lắp đặt","Các công trình xây dựng cơ bản dở dang lớn như sau: > Máy móc, thiết bị chờ lắp đặt","Máy móc, thiết bị chờ lắp đặt",12.381.694.368,23.206.143.020,12381694368.0,23206143020.0
Chi phí xây dựng,Các công trình xây dựng cơ bản dở dang lớn như sau: > Chi phí xây dựng,Chi phí xây dựng,1.472.949.719,1.932.316.670,1472949719.0,1932316670.0
Khác,Các công trình xây dựng cơ bản dở dang lớn như sau: > Khác,Khác,2.633.141.334,3.168.880.000,2633141334.0,3168880000.0
,,,16.487.785.421,28.307.339.690,16487785421.0,28307339690.0
