row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2019VND,30/9/2018VND,,
Công ty TNHH Một Thành Viên Hoa Sen Phú Mỹ,Công ty TNHH Một Thành Viên Hoa Sen Phú Mỹ,Công ty TNHH Một Thành Viên Hoa Sen Phú Mỹ,Công ty TNHH Một Thành Viên Hoa Sen Phú Mỹ,Công ty TNHH Một Thành Viên Hoa Sen Phú Mỹ,,
Bán hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Hoa Sen Phú Mỹ > Bán hàng hóa và thành phẩm,Bán hàng hóa và thành phẩm,283.201.838.656,403.345.547.024,283201838656.0,403345547024.0
Mua hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Hoa Sen Phú Mỹ > Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,191.023.808.607,49.562.550.487,191023808607.0,49562550487.0
Cho vay,Công ty TNHH Một Thành Viên Hoa Sen Phú Mỹ > Cho vay,Cho vay,-,43.406.984.582,,43406984582.0
Góp vốn,Công ty TNHH Một Thành Viên Hoa Sen Phú Mỹ > Góp vốn,Góp vốn,-,150.000.000.000,,150000000000.0
Đi thuê hoạt động,Công ty TNHH Một Thành Viên Hoa Sen Phú Mỹ > Đi thuê hoạt động,Đi thuê hoạt động,3.417.000.000,1.790.793.080,3417000000.0,1790793080.0
Khác,Công ty TNHH Một Thành Viên Hoa Sen Phú Mỹ > Khác,Khác,-,541.587.113,,541587113.0
Công ty TNHH Một Thành Viên Đầu tư Hạ tầng Khu,Công ty TNHH Một Thành Viên Đầu tư Hạ tầng Khu,Công ty TNHH Một Thành Viên Đầu tư Hạ tầng Khu,Công ty TNHH Một Thành Viên Đầu tư Hạ tầng Khu,Công ty TNHH Một Thành Viên Đầu tư Hạ tầng Khu,,
Công nghiệp Hoa Sen Cà Ná - Ninh Thuận,Công nghiệp Hoa Sen Cà Ná - Ninh Thuận,Công nghiệp Hoa Sen Cà Ná - Ninh Thuận,Công nghiệp Hoa Sen Cà Ná - Ninh Thuận,Công nghiệp Hoa Sen Cà Ná - Ninh Thuận,,
Góp vốn,Công nghiệp Hoa Sen Cà Ná - Ninh Thuận > Góp vốn,Góp vốn,-,1.000.000.000,,1000000000.0
Công ty TNHH Một Thành Viên Căng Tổng hợp Quốc tế Hoa Sen Cà Ná - Ninh Thuận,Công ty TNHH Một Thành Viên Căng Tổng hợp Quốc tế Hoa Sen Cà Ná - Ninh Thuận,Công ty TNHH Một Thành Viên Căng Tổng hợp Quốc tế Hoa Sen Cà Ná - Ninh Thuận,Công ty TNHH Một Thành Viên Căng Tổng hợp Quốc tế Hoa Sen Cà Ná - Ninh Thuận,Công ty TNHH Một Thành Viên Căng Tổng hợp Quốc tế Hoa Sen Cà Ná - Ninh Thuận,,
Góp vốn,Công ty TNHH Một Thành Viên Căng Tổng hợp Quốc tế Hoa Sen Cà Ná - Ninh Thuận > Góp vốn,Góp vốn,2.500.000.000,1.000.000.000,2500000000.0,1000000000.0
Công ty Cổ phần Hoa Sen Quy Nhơn,Công ty Cổ phần Hoa Sen Quy Nhơn,Công ty Cổ phần Hoa Sen Quy Nhơn,Công ty Cổ phần Hoa Sen Quy Nhơn,Công ty Cổ phần Hoa Sen Quy Nhơn,,
Vay,Công ty Cổ phần Hoa Sen Quy Nhơn > Vay,Vay,53.000.000.000,53.000.000.000,53000000000.0,53000000000.0
Lãi vay,Công ty Cổ phần Hoa Sen Quy Nhơn > Lãi vay,Lãi vay,2.764.276.712,1.256.027.397,2764276712.0,1256027397.0
Công ty Cổ phần Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long,Công ty Cổ phần Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long,Công ty Cổ phần Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long,Công ty Cổ phần Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long,Công ty Cổ phần Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long,,
Chuyển nhượng vốn,Công ty Cổ phần Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long > Chuyển nhượng vốn,Chuyển nhượng vốn,-,13.585.000.000,,13585000000.0
Cho vay,Công ty Cổ phần Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long > Cho vay,Cho vay,5.940.000.000,12.160.295.900,5940000000.0,12160295900.0
Góp vốn,Công ty Cổ phần Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long > Góp vốn,Góp vốn,-,4.500.000.000,,4500000000.0
Thu nhập từ tiền lãi,Công ty Cổ phần Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long > Thu nhập từ tiền lãi,Thu nhập từ tiền lãi,562.772.324,335.342.389,562772324.0,335342389.0
Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái,Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái,Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái,Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái,Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái,,
Bán hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái > Bán hàng hóa và thành phẩm,Bán hàng hóa và thành phẩm,63.832.107,1.704.016.764,63832107.0,1704016764.0
Mua hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái > Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,241.520.896.612,215.951.772.945,241520896612.0,215951772945.0
Cho vay,Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái > Cho vay,Cho vay,-,10.605.320.725,,10605320725.0
Lãi cho vay,Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái > Lãi cho vay,Lãi cho vay,-,281.965.103,,281965103.0
Mua tài sản cố định,Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái > Mua tài sản cố định,Mua tài sản cố định,-,657.083.010,,657083010.0
