row_label_raw,row_label_full,col_0,Mã số Thuyết minh,Năm kết thúc ngày > 30/9/2019 VND,Năm kết thúc ngày > 30/9/2018 VND,numeric__Mã số Thuyết minh,numeric__Năm kết thúc ngày > 30/9/2019 VND,numeric__Năm kết thúc ngày > 30/9/2018 VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,01,698.516.779.014,573.738.094.407,1.0,698516779014.0,573738094407.0
Khấu hao và phân bổ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Khấu hao và phân bổ,Khấu hao và phân bổ,02,351.886.248.928,322.385.755.534,2.0,351886248928.0,322385755534.0
Các khoản dự phòng,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng,Các khoản dự phòng,03,960.049.390,(25.511.932.453),3.0,960049390.0,-25511932453.0
Lỗ chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lỗ chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lỗ chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,1.468.280.700,47.305.340.201,4.0,1468280700.0,47305340201.0
Lãi từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,(488.127.106.820),(486.088.302.864),5.0,-488127106820.0,-486088302864.0
Chi phí lãi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay,Chi phí lãi vay,06,399.146.337.196,458.729.805.247,6.0,399146337196.0,458729805247.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,963.850.588.408,890.558.760.072,8.0,963850588408.0,890558760072.0
Biến động các khoản phải thu,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải thu,Biến động các khoản phải thu,09,2.571.484.034.504,(2.360.829.298.260),9.0,2571484034504.0,-2360829298260.0
Biến động hàng tồn kho,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động hàng tồn kho,Biến động hàng tồn kho,10,(295.933.168.355),3.644.342.779.949,10.0,-295933168355.0,3644342779949.0
Biến động các khoản phải trả và nợ phải trả khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,517.210.365.393,(2.314.955.937.226),11.0,517210365393.0,-2314955937226.0
Biến động chi phí trả trước,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chi phí trả trước,Biến động chi phí trả trước,12,76.955.554.774,8.018.371.205,12.0,76955554774.0,8018371205.0
,,,,3.833.567.374.724,(132.865.324.260),,3833567374724.0,-132865324260.0
Tiền lãi vay đã trả,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(405.309.711.905),(457.469.733.777),14.0,-405309711905.0,-457469733777.0
Thuế thu nhập doanh nghiệp đã nộp,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(65.569.893.516),(123.097.749.073),15.0,-65569893516.0,-123097749073.0
