row_label_raw,row_label_full,col_0,Bên cho vay,Loại tiên,Hạn mức,Lãi suất,Lãi suất_1,Tài sản đảm bảo,numeric__Bên cho vay,numeric__Loại tiên,numeric__Hạn mức,numeric__Lãi suất,numeric__Lãi suất_1,numeric__Tài sản đảm bảo
,,,Bên cho vay,Loại tiên,Hạn mức,30/9/2019,1/10/2018,Tài sản đảm bảo,,,,,,
xii.,xii.,xii.,Bên thứ baNgân hàng TNHH MTV ANZ (Việt Nam),VND,-,"5,95%","4,95% - 6,50%",Hàng tồn kho và quyền sử dụng đất,,,,0.059500000000000004,,
xiii.,xiii.,xiii.,Ngân hàng TMCP Xuất nhập khẩu Việt Nam - Chi nhánh Bình Dương,USD,-,"3,00%","3,00%",Không có tài sản đảm bảo,,,,0.03,0.03,
xiv.,xiv.,xiv.,Ngân hàng TNHH MTV Standard Chartered (Việt Nam) - Chi nhánh TP. Hồ Chí Minh,VND,-,"5,85%","5,85%",Máy móc và thiết bị,,,,0.058499999999999996,0.058499999999999996,
xv.,xv.,xv.,Bên liên quanCông ty Cổ phần Hoa Sen Quy Nhơn - một công ty con,VND,-,"5,50%","5,00%",Không có tài sản đảm bảo,,,,0.055,0.05,
