row_label_raw,row_label_full,col_0,Giá gốc/Số có khả năng trả nợ,Giá gốc/Số có khả năng trả nợ_1,numeric__Giá gốc/Số có khả năng trả nợ,numeric__Giá gốc/Số có khả năng trả nợ_1
,,,30/9/2019VND,1/10/2018VND,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty TNHH Một Thành Viên Hoa Sen Bình Định,Công ty con > Công ty TNHH Một Thành Viên Hoa Sen Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Bình Định,154.131.223.375,336.200.056.889,154131223375.0,336200056889.0
Công ty TNHH Một Thành Viên Hoa Sen Nhom Hội- Bình Định,Công ty con > Công ty TNHH Một Thành Viên Hoa Sen Nhom Hội- Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Nhom Hội- Bình Định,237.095.129.919,61.292.574.787,237095129919.0,61292574787.0
Công ty TNHH Một Thành Viên Hoa Sen Hà Nam,Công ty con > Công ty TNHH Một Thành Viên Hoa Sen Hà Nam,Công ty TNHH Một Thành Viên Hoa Sen Hà Nam,147.286.762.472,137.214.608.808,147286762472.0,137214608808.0
Công ty TNHH Một Thành Viên Vật liệu Xây dựngHoa Sen Yên Bái,Công ty con > Công ty TNHH Một Thành Viên Vật liệu Xây dựngHoa Sen Yên Bái,Công ty TNHH Một Thành Viên Vật liệu Xây dựngHoa Sen Yên Bái,48.550.683.122,36.513.309.235,48550683122.0,36513309235.0
Công ty TNHH Một Thành Viên Vận tải và Cơ khíHoa Sen,Công ty con > Công ty TNHH Một Thành Viên Vận tải và Cơ khíHoa Sen,Công ty TNHH Một Thành Viên Vận tải và Cơ khíHoa Sen,-,15.599.670.164,,15599670164.0
Công ty thuộc sở hữu của Chủ tịch Công ty,Công ty thuộc sở hữu của Chủ tịch Công ty,Công ty thuộc sở hữu của Chủ tịch Công ty,Công ty thuộc sở hữu của Chủ tịch Công ty,Công ty thuộc sở hữu của Chủ tịch Công ty,,
Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty thuộc sở hữu của Chủ tịch Công ty > Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,3.833.634.483,4.264.268.660,3833634483.0,4264268660.0
Công ty TNHH Một Thành Viên Đầu tư Hoa SenNghệ An,Công ty thuộc sở hữu của Chủ tịch Công ty > Công ty TNHH Một Thành Viên Đầu tư Hoa SenNghệ An,Công ty TNHH Một Thành Viên Đầu tư Hoa SenNghệ An,24.421.594,52.819.936,24421594.0,52819936.0
