row_label_raw,row_label_full,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sảnkhácVND,TổngVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sảnkhácVND,numeric__TổngVND
484.937.564.384,484.937.564.384,484.937.564.384,2.401.947.096.614,307.161.463.198,47.326.150.145,19.559.957.622,3.260.932.231.963,2401947096614.0,307161463198.0,47326150145.0,19559957622.0,3260932231963.0
3.381.778.486,3.381.778.486,3.381.778.486,201.571.761.393,2.733.301.370,10.310.558.948,1.177.861.800,219.175.261.997,201571761393.0,2733301370.0,10310558948.0,1177861800.0,219175261997.0
-,-,-,18.361.559.980,17.238.507.532,-,-,35.600.067.512,18361559980.0,17238507532.0,,,35600067512.0
-,-,-,32.267.433.454,13.231.994.717,-,-,45.499.428.171,32267433454.0,13231994717.0,,,45499428171.0
(889.974.672),(889.974.672),(889.974.672),(296.154.645),-,-,-,(1.186.129.317),-296154645.0,,,,-1186129317.0
(3.112.611.358),(3.112.611.358),(3.112.611.358),(76.531.265.110),(88.527.404.706),-,-,(168.171.281.174),-76531265110.0,-88527404706.0,,,-168171281174.0
(36.799.182),(36.799.182),(36.799.182),(1.524.533.236),-,-,-,(1.561.332.418),-1524533236.0,,,,-1561332418.0
484.279.957.658,484.279.957.658,484.279.957.658,2.575.795.898.450,251.837.862.111,57.636.709.093,20.737.819.422,3.390.288.246.734,2575795898450.0,251837862111.0,57636709093.0,20737819422.0,3390288246734.0
232.341.909.988,232.341.909.988,232.341.909.988,1.273.907.881.796,128.672.821.988,16.110.193.040,18.203.720.180,1.669.236.526.992,1273907881796.0,128672821988.0,16110193040.0,18203720180.0,1669236526992.0
25.341.063.591,25.341.063.591,25.341.063.591,260.363.613.156,30.916.824.358,8.549.498.504,836.471.148,326.007.470.757,260363613156.0,30916824358.0,8549498504.0,836471148.0,326007470757.0
-,-,-,17.087.537.128,5.242.661.931,-,-,22.330.199.059,17087537128.0,5242661931.0,,,22330199059.0
(315.607.791),(315.607.791),(315.607.791),(126.547.331),-,-,-,(442.155.122),-126547331.0,,,,-442155122.0
(2.623.230.063),(2.623.230.063),(2.623.230.063),(30.775.119.976),(33.818.790.323),-,-,(67.217.140.362),-30775119976.0,-33818790323.0,,,-67217140362.0
(5.009.091),(5.009.091),(5.009.091),(1.497.285.367),-,-,-,(1.502.294.458),-1497285367.0,,,,-1502294458.0
254.739.126.634,254.739.126.634,254.739.126.634,1.518.960.079.406,131.013.517.954,24.659.691.544,19.040.191.328,1.948.412.606.866,1518960079406.0,131013517954.0,24659691544.0,19040191328.0,1948412606866.0
252.595.654.396,252.595.654.396,252.595.654.396,1.128.039.214.818,178.488.641.210,31.215.957.105,1.356.237.442,1.591.695.704.971,1128039214818.0,178488641210.0,31215957105.0,1356237442.0,1591695704971.0
229.540.831.024,229.540.831.024,229.540.831.024,1.056.835.819.044,120.824.344.157,32.977.017.549,1.697.628.094,1.441.875.639.868,1056835819044.0,120824344157.0,32977017549.0,1697628094.0,1441875639868.0
