row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2019VND,30/9/2018VND,,
Công ty thuộc sở hữu của Chủ tịch Công ty,Công ty thuộc sở hữu của Chủ tịch Công ty,Công ty thuộc sở hữu của Chủ tịch Công ty,Công ty thuộc sở hữu của Chủ tịch Công ty,Công ty thuộc sở hữu của Chủ tịch Công ty,,
Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,,
Bán hàng hóa và thành phẩm,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Bán hàng hóa và thành phẩm,Bán hàng hóa và thành phẩm,2.222.110.174.059,4.247.355.470.991,2222110174059.0,4247355470991.0
Mua hàng hóa và thành phẩm,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,459.762.175.044,2.131.902.739.532,459762175044.0,2131902739532.0
Bán tài sản cố định,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Bán tài sản cố định,Bán tài sản cố định,32.476.307.578,40.961.909.490,32476307578.0,40961909490.0
Mua tài sản cố định,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Mua tài sản cố định,Mua tài sản cố định,202.978.077.818,-,202978077818.0,
Chiết khấu thương mại,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Chiết khấu thương mại,Chiết khấu thương mại,-,43.093.355.162,,43093355162.0
Hàng bán bị trả lại,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Hàng bán bị trả lại,Hàng bán bị trả lại,2.098.483.579,3.595.809.964,2098483579.0,3595809964.0
Doanh thu từ cho thuê tài sản,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Doanh thu từ cho thuê tài sản,Doanh thu từ cho thuê tài sản,4.198.466.388,1.828.130.909,4198466388.0,1828130909.0
Chi phí vận chuyển,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Chi phí vận chuyển,Chi phí vận chuyển,41.633.162.447,43.220.427.887,41633162447.0,43220427887.0
Dịch vụ gia công,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Dịch vụ gia công,Dịch vụ gia công,910.242.733,1.146.734.978,910242733.0,1146734978.0
Bán khác,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Bán khác,Bán khác,1.138.936.694,635.617.480,1138936694.0,635617480.0
Chi phí thuê hoạt động,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Chi phí thuê hoạt động,Chi phí thuê hoạt động,4.486.071.500,447.272.724,4486071500.0,447272724.0
Giảm giá hàng bán,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Giảm giá hàng bán,Giảm giá hàng bán,21.245.500,-,21245500.0,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,,
Lương và thường,Ban Tổng Giám đốc > Lương và thường,Lương và thường,12.037.488.915,16.987.072.159,12037488915.0,16987072159.0
Hội đồng quản trị và Ban kiểm soát,Hội đồng quản trị và Ban kiểm soát,Hội đồng quản trị và Ban kiểm soát,Hội đồng quản trị và Ban kiểm soát,Hội đồng quản trị và Ban kiểm soát,,
Thù lao,Hội đồng quản trị và Ban kiểm soát > Thù lao,Thù lao,2.340.000.000,2.270.000.000,2340000000.0,2270000000.0
