row_label_raw,row_label_full,col_0,Thuyết minh,Năm kết thúc ngày > 30/9/2018VND(dã phân loại lại),Năm kết thúc ngày > 30/9/2018VND(theo báo cáo trước đây),numeric__Thuyết minh,numeric__Năm kết thúc ngày > 30/9/2018VND(dã phân loại lại),numeric__Năm kết thúc ngày > 30/9/2018VND(theo báo cáo trước đây)
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,1.710.615.254.221,1.493.660.136.661,25.0,1710615254221.0,1493660136661.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,494.847.430.766,711.802.548.326,26.0,494847430766.0,711802548326.0
