row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 10 năm 2017,Số dư tại ngày 1 tháng 10 năm 2017,Số dư tại ngày 1 tháng 10 năm 2017,3.499.966.830.000,151.583.183.521,-,34.535.741.195,1.618.854.251.238,5.304.940.005.954,3499966830000.0,151583183521.0,,34535741195.0,1618854251238.0,5304940005954.0
Lợi nhuận thuần trong kỳ,Lợi nhuận thuần trong kỳ,Lợi nhuận thuần trong kỳ,-,-,-,-,505.274.139.165,505.274.139.165,,,,,505274139165.0,505274139165.0
Cổ phiếu phát hành đề trả cổ tức,Cổ phiếu phát hành đề trả cổ tức,Cổ phiếu phát hành đề trả cổ tức,349.936.450.000,-,-,-,(349.936.450.000),-,349936450000.0,,,,-349936450000.0,
Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(1.343.000.000),-,-,(1.343.000.000),,,-1343000000.0,,,-1343000000.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,(349.957.383.000),(349.957.383.000),,,,,-349957383000.0,-349957383000.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(53.266.556.487),(53.266.556.487),,,,,-53266556487.0,-53266556487.0
Phân bổ vào quỹ,Phân bổ vào quỹ,Phân bổ vào quỹ,-,-,-,47.549.876.048,(47.549.876.048),-,,,,47549876048.0,-47549876048.0,
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,(21.575.866.687),-,(21.575.866.687),,,,-21575866687.0,,-21575866687.0
Số dư tại ngày 1 tháng 10 năm 2018,Số dư tại ngày 1 tháng 10 năm 2018,Số dư tại ngày 1 tháng 10 năm 2018,3.849.903.280.000,151.583.183.521,(1.343.000.000),60.509.750.556,1.323.418.124.868,5.384.071.338.945,3849903280000.0,151583183521.0,-1343000000.0,60509750556.0,1323418124868.0,5384071338945.0
Lợi nhuận thuần trong kỳ,Lợi nhuận thuần trong kỳ,Lợi nhuận thuần trong kỳ,-,-,-,-,611.107.359.723,611.107.359.723,,,,,611107359723.0,611107359723.0
Cổ phiếu phát hành đề trả cổ tức (*),Cổ phiếu phát hành đề trả cổ tức (*),Cổ phiếu phát hành đề trả cổ tức (*),384.791.610.000,-,-,-,(384.791.610.000),-,384791610000.0,,,,-384791610000.0,
Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(1.116.000.000),-,-,(1.116.000.000),,,-1116000000.0,,,-1116000000.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(4.092.340.379),(4.092.340.379),,,,,-4092340379.0,-4092340379.0
Phân bổ vào quỹ (**),Phân bổ vào quỹ (**),Phân bổ vào quỹ (**),-,-,-,6.138.510.569,(6.138.510.569),-,,,,6138510569.0,-6138510569.0,
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,(11.021.590.990),-,(11.021.590.990),,,,-11021590990.0,,-11021590990.0
Số dư tại ngày 30 tháng 9 năm 2019,Số dư tại ngày 30 tháng 9 năm 2019,Số dư tại ngày 30 tháng 9 năm 2019,4.234.694.890.000,151.583.183.521,(2.459.000.000),55.626.670.135,1.539.503.023.643,5.978.948.767.299,4234694890000.0,151583183521.0,-2459000000.0,55626670135.0,1539503023643.0,5978948767299.0
