row_label_raw,row_label_full,col_0,Vốn điều lệ,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Số dư tại ngày 1/1/2019,Số dư tại ngày 1/1/2019,Số dư tại ngày 1/1/2019,7.688.000,138.285,24.719,419.148,8.270.152,7688000.0,138285.0,24719.0,419148.0,8270152.0
Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,1.681.000,-,-,-,1.681.000,1681000.0,,,,1681000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,1.151.776,1.151.776,,,,1151776.0,1151776.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,115.177,57.589,(172.766),-,,115177.0,57589.0,-172766.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,(15.176),(15.176),,,,-15176.0,-15176.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,(138.000),-,-,(138.000),,-138000.0,,,-138000.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,3.284,3.284,,,,3284.0,3284.0
Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,9.369.000,115.462,82.308,1.386.266,10.953.036,9369000.0,115462.0,82308.0,1386266.0,10953036.0
Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,1.406.782,-,-,-,1.406.782,1406782.0,,,,1406782.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,1.475.898,1.475.898,,,,1475898.0,1475898.0
Phát hành cổ phiếu đề trả cổ tức,Phát hành cổ phiếu đề trả cổ tức,Phát hành cổ phiếu đề trả cổ tức,1.311.660,-,-,(1.311.660),-,1311660.0,,,-1311660.0,
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,147.590,73.796,(221.386),-,,147590.0,73796.0,-221386.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,(22.261),(22.261),,,,-22261.0,-22261.0
Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,12.087.442,263.052,156.104,1.306.857,13.813.455,12087442.0,263052.0,156104.0,1306857.0,13813455.0
