row_label_raw,row_label_full,(Triệu VND),(Triệu VND)_1,(Triệu VND)_2,(Triệu VND)_3,(Triệu VND)_4,numeric__(Triệu VND)_1,numeric__(Triệu VND)_2,numeric__(Triệu VND)_3,numeric__(Triệu VND)_4
,,,Chưa quá hạn và chưa bị giảm giá,Đã quá hạn nhưng chưa bị giảm giá,Đã quá hạn và đã giảm giá,Tổng cộng,,,,
Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,3.374.301,-,-,3.374.301,3374301.0,,,3374301.0
Tiền gửi và cho vay các tổ chức tín dụng khác - gộp,Tiền gửi và cho vay các tổ chức tín dụng khác - gộp,Tiền gửi và cho vay các tổ chức tín dụng khác - gộp,25.740.328,-,-,25.740.328,25740328.0,,,25740328.0
Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,106.464.735,143.993,2.115.319,108.724.047,106464735.0,143993.0,2115319.0,108724047.0
Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,32.137.840,-,-,32.137.840,32137840.0,,,32137840.0
Tải sản tài chính khác – gộp,Tải sản tài chính khác – gộp,Tải sản tài chính khác – gộp,3.658.566,-,-,3.658.566,3658566.0,,,3658566.0
,,,171.375.770,143.993,2.115.319,173.635.082,171375770.0,143993.0,2115319.0,173635082.0
Tại ngày 31 tháng 12 năm 2019 (Triệu VND),Tại ngày 31 tháng 12 năm 2019 (Triệu VND),Tại ngày 31 tháng 12 năm 2019 (Triệu VND),Tại ngày 31 tháng 12 năm 2019 (Triệu VND),Tại ngày 31 tháng 12 năm 2019 (Triệu VND),Tại ngày 31 tháng 12 năm 2019 (Triệu VND),Tại ngày 31 tháng 12 năm 2019 (Triệu VND),,,,
,,,Chưa quá hạn và chưa bị giảm giá,Đã quá hạn nhưng chưa bị giảm giá,Đã quá hạn và đã giảm giá,Tổng cộng,,,,
Tiền gửi tại Ngân hàng Nhà nước,Tại ngày 31 tháng 12 năm 2019 (Triệu VND) > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,3.231.775,-,-,3.231.775,3231775.0,,,3231775.0
Tiền gửi và cho vay các tổ chức tín dụng khác - gộp,Tại ngày 31 tháng 12 năm 2019 (Triệu VND) > Tiền gửi và cho vay các tổ chức tín dụng khác - gộp,Tiền gửi và cho vay các tổ chức tín dụng khác - gộp,25.399.651,-,-,25.399.651,25399651.0,,,25399651.0
Cho vay khách hàng - gộp,Tại ngày 31 tháng 12 năm 2019 (Triệu VND) > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,95.959.798,241.186,2.419.254,98.620.238,95959798.0,241186.0,2419254.0,98620238.0
Chứng khoán đầu tư – gộp,Tại ngày 31 tháng 12 năm 2019 (Triệu VND) > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,20.602.853,-,-,20.602.853,20602853.0,,,20602853.0
Tải sản tài chính khác – gộp,Tại ngày 31 tháng 12 năm 2019 (Triệu VND) > Tải sản tài chính khác – gộp,Tải sản tài chính khác – gộp,4.463.527,-,-,4.463.527,4463527.0,,,4463527.0
,,,149.657.604,241.186,2.419.254,152.318.044,149657604.0,241186.0,2419254.0,152318044.0
