row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2020Triệu VND,31/12/2019Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2020Triệu VND,numeric__31/12/2019Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮUNỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ vàNgân hàng Nhà nước,17,205.702,238.592,,17.0,205702.0,238592.0
II,B > II,II,Tiền gửi và vay các TCTD khác,18,42.699.830,31.837.375,,18.0,42699830.0,31837375.0
1,B > 1,1,Tiền gửi của các TCTD khác,,25.571.629,21.642.316,,,25571629.0,21642316.0
2,B > 2,2,Vay các TCTD khác,,17.128.201,10.195.059,,,17128201.0,10195059.0
III,B > III,III,Tiền gửi của khách hàng,19,113.298.248,95.732.770,,19.0,113298248.0,95732770.0
VI,B > VI,VI,Phát hành giấy tờ có giá,20,7.064.740,15.823.180,,20.0,7064740.0,15823180.0
VII,B > VII,VII,Các khoản nợ khác,21,3.442.763,3.308.313,,21.0,3442763.0,3308313.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,3.065.604,3.019.357,,,3065604.0,3019357.0
3,B > 3,3,Các khoản phải trả và công nợ khác,,377.159,288.956,,,377159.0,288956.0
,,,TỔNG NỘ PHẢI TRẢ,,166.711.283,146.940.230,,,166711283.0,146940230.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn và các quỹ,22,13.813.455,10.953.036,,22.0,13813455.0,10953036.0
1,B > 1,1,Vốn,,12.087.442,9.369.000,,,12087442.0,9369000.0
\( \alpha \),B > \( \alpha \),\( \alpha \),Vốn điều lệ,,12.087.442,9.369.000,,,12087442.0,9369000.0
2,B > 2,2,Các quỹ của tổ chức tín dụng,,419.156,197.770,,,419156.0,197770.0
5,B > 5,5,Lợi nhuận chưa phân phối,,1.306.857,1.386.266,,,1306857.0,1386266.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,13.813.455,10.953.036,,,13813455.0,10953036.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐNCHỦ SỞ HỮU,,180.524.738,157.893.266,,,180524738.0,157893266.0
