row_label_raw,row_label_full,col_0,Tài sản/ (Nợ phải trả),Tài sản/ (Nợ phải trả)_1,numeric__Tài sản/ (Nợ phải trả),numeric__Tài sản/ (Nợ phải trả)_1
,,,31/12/2020Triệu VND,31/12/2019Triệu VND,,
Công ty TNHH MTV Quản lý nợ và Khai tác tài sản SeABank,Công ty TNHH MTV Quản lý nợ và Khai tác tài sản SeABank,Công ty TNHH MTV Quản lý nợ và Khai tác tài sản SeABank,Công ty TNHH MTV Quản lý nợ và Khai tác tài sản SeABank,Công ty TNHH MTV Quản lý nợ và Khai tác tài sản SeABank,,
▪ Vốn góp của Ngân hàng,Công ty TNHH MTV Quản lý nợ và Khai tác tài sản SeABank > ▪ Vốn góp của Ngân hàng,▪ Vốn góp của Ngân hàng,500.000,500.000,500000.0,500000.0
▪ Tiền gửi không kỳ hạn tại Ngân hàng,Công ty TNHH MTV Quản lý nợ và Khai tác tài sản SeABank > ▪ Tiền gửi không kỳ hạn tại Ngân hàng,▪ Tiền gửi không kỳ hạn tại Ngân hàng,(2.204),(405),-2204.0,-405.0
▪ Tiền gửi có kỳ hạn tại Ngân hàng,Công ty TNHH MTV Quản lý nợ và Khai tác tài sản SeABank > ▪ Tiền gửi có kỳ hạn tại Ngân hàng,▪ Tiền gửi có kỳ hạn tại Ngân hàng,(20.100),(6.500),-20100.0,-6500.0
▪ Các khoản phải trả khác cho Ngân hàng,Công ty TNHH MTV Quản lý nợ và Khai tác tài sản SeABank > ▪ Các khoản phải trả khác cho Ngân hàng,▪ Các khoản phải trả khác cho Ngân hàng,12.227,8.710,12227.0,8710.0
▪ Trái phiếu do Ngân hàng phát hành,Công ty TNHH MTV Quản lý nợ và Khai tác tài sản SeABank > ▪ Trái phiếu do Ngân hàng phát hành,▪ Trái phiếu do Ngân hàng phát hành,-,(144.000),,-144000.0
▪ Tiền vay tại Ngân hàng,Công ty TNHH MTV Quản lý nợ và Khai tác tài sản SeABank > ▪ Tiền vay tại Ngân hàng,▪ Tiền vay tại Ngân hàng,44.417,12.291,44417.0,12291.0
Công ty Tài chính TNHH MTV Bưu điện,Công ty Tài chính TNHH MTV Bưu điện,Công ty Tài chính TNHH MTV Bưu điện,Công ty Tài chính TNHH MTV Bưu điện,Công ty Tài chính TNHH MTV Bưu điện,,
▪ Vốn góp của Ngân hàng,Công ty Tài chính TNHH MTV Bưu điện > ▪ Vốn góp của Ngân hàng,▪ Vốn góp của Ngân hàng,1.050.000,1.050.000,1050000.0,1050000.0
▪ Tiền gửi không kỳ hạn tại Ngân hàng,Công ty Tài chính TNHH MTV Bưu điện > ▪ Tiền gửi không kỳ hạn tại Ngân hàng,▪ Tiền gửi không kỳ hạn tại Ngân hàng,(183.157),(367.724),-183157.0,-367724.0
Công ty TNHH Khách sơn Nhà Hải,Công ty TNHH Khách sơn Nhà Hải,Công ty TNHH Khách sơn Nhà Hải,Công ty TNHH Khách sơn Nhà Hải,Công ty TNHH Khách sơn Nhà Hải,,
▪ Tiền gửi không kỳ hạn tại Ngân hàng,Công ty TNHH Khách sơn Nhà Hải > ▪ Tiền gửi không kỳ hạn tại Ngân hàng,▪ Tiền gửi không kỳ hạn tại Ngân hàng,(34.862),(45.441),-34862.0,-45441.0
▪ Tiền gửi có kỳ hạn tại Ngân hàng,Công ty TNHH Khách sơn Nhà Hải > ▪ Tiền gửi có kỳ hạn tại Ngân hàng,▪ Tiền gửi có kỳ hạn tại Ngân hàng,(77.415),(107.015),-77415.0,-107015.0
Công ty TNHH Thương mại Quốc tế và Dịch vụ Siêu thị Big C Thăng Long,Công ty TNHH Thương mại Quốc tế và Dịch vụ Siêu thị Big C Thăng Long,Công ty TNHH Thương mại Quốc tế và Dịch vụ Siêu thị Big C Thăng Long,Công ty TNHH Thương mại Quốc tế và Dịch vụ Siêu thị Big C Thăng Long,Công ty TNHH Thương mại Quốc tế và Dịch vụ Siêu thị Big C Thăng Long,,
▪ Tiền gửi không kỳ hạn tại Ngân hàng,Công ty TNHH Thương mại Quốc tế và Dịch vụ Siêu thị Big C Thăng Long > ▪ Tiền gửi không kỳ hạn tại Ngân hàng,▪ Tiền gửi không kỳ hạn tại Ngân hàng,(4.949),(7.764),-4949.0,-7764.0
▪ Tiền gửi có kỳ hạn tại Ngân hàng,Công ty TNHH Thương mại Quốc tế và Dịch vụ Siêu thị Big C Thăng Long > ▪ Tiền gửi có kỳ hạn tại Ngân hàng,▪ Tiền gửi có kỳ hạn tại Ngân hàng,(618.106),(618.106),-618106.0,-618106.0
