row_label_raw,row_label_full,col_0,31/12/2020 > Giá gốc > Triệu VND,31/12/2020 > Tỷ lệnăm giữ(%),31/12/2019 > Giá gốc > Triệu VND,31/12/2019 > Tỷ lệnăm giữ(%),numeric__31/12/2020 > Giá gốc > Triệu VND,numeric__31/12/2020 > Tỷ lệnăm giữ(%),numeric__31/12/2019 > Giá gốc > Triệu VND,numeric__31/12/2019 > Tỷ lệnăm giữ(%)
Công ty Cổ phần AJC,Công ty Cổ phần AJC,Công ty Cổ phần AJC,24.102,"10,00%",24.102,"10,00%",24102.0,0.1,24102.0,0.1
Công ty Cổ phần Chứng khoán Bảo Minh,Công ty Cổ phần Chứng khoán Bảo Minh,Công ty Cổ phần Chứng khoán Bảo Minh,15.000,"3,00%",15.000,"3,00%",15000.0,0.03,15000.0,0.03
Công ty Cổ phần Xăng dầu Dầu khí Tây Ninh,Công ty Cổ phần Xăng dầu Dầu khí Tây Ninh,Công ty Cổ phần Xăng dầu Dầu khí Tây Ninh,12.470,"9,59%",12.470,"9,59%",12470.0,0.0959,12470.0,0.0959
Công ty Cổ phần Sản xuất và Chế biến Dầu khí Phú Mỹ,Công ty Cổ phần Sản xuất và Chế biến Dầu khí Phú Mỹ,Công ty Cổ phần Sản xuất và Chế biến Dầu khí Phú Mỹ,11.000,"2,20%",11.000,"2,20%",11000.0,0.022000000000000002,11000.0,0.022000000000000002
Công ty Cổ phần Xăng dầu Dầu khí Sài Gòn,Công ty Cổ phần Xăng dầu Dầu khí Sài Gòn,Công ty Cổ phần Xăng dầu Dầu khí Sài Gòn,10.000,"5,00%",10.000,"5,00%",10000.0,0.05,10000.0,0.05
Công ty Cổ phần Xăng dầu Dầu khí Vũng Tàu,Công ty Cổ phần Xăng dầu Dầu khí Vũng Tàu,Công ty Cổ phần Xăng dầu Dầu khí Vũng Tàu,10.000,"8,33%",10.000,"8,33%",10000.0,0.0833,10000.0,0.0833
Công ty Cổ phần Xăng dầu Dầu khí Thừa Thiên Huế,Công ty Cổ phần Xăng dầu Dầu khí Thừa Thiên Huế,Công ty Cổ phần Xăng dầu Dầu khí Thừa Thiên Huế,4.800,"6,00%",4.800,"6,00%",4800.0,0.06,4800.0,0.06
Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Công ty Cổ phần Thanh toán Quốc gia Việt Nam,3.300,"1,06%",2.000,"0,83%",3300.0,0.0106,2000.0,0.0083
Công ty Cổ phần Xăng dầu Dầu khí Hà Nội,Công ty Cổ phần Xăng dầu Dầu khí Hà Nội,Công ty Cổ phần Xăng dầu Dầu khí Hà Nội,7.500,"3,00%",7.500,"3,00%",7500.0,0.03,7500.0,0.03
Công ty Cổ phần Xăng dầu Dầu khí Thái Bình,Công ty Cổ phần Xăng dầu Dầu khí Thái Bình,Công ty Cổ phần Xăng dầu Dầu khí Thái Bình,-,"0,00%",8.512,"7,81%",,0.0,8512.0,0.0781
Công ty Cổ phần Dịch vụ Dầu khí Thái Bình,Công ty Cổ phần Dịch vụ Dầu khí Thái Bình,Công ty Cổ phần Dịch vụ Dầu khí Thái Bình,-,"0,00%",1.640,"5,86%",,0.0,1640.0,0.058600000000000006
,,,98.172,,107.024,,98172.0,,107024.0,
