row_label_raw,row_label_full,col_0,Tài sản/ (Nợ phải trả),Tài sản/ (Nợ phải trả)_1,numeric__Tài sản/ (Nợ phải trả),numeric__Tài sản/ (Nợ phải trả)_1
,,,31/12/2020Triệu VND,31/12/2019Triệu VND,,
Công ty Cổ phần Thăng Long GTC,Công ty Cổ phần Thăng Long GTC,Công ty Cổ phần Thăng Long GTC,Công ty Cổ phần Thăng Long GTC,Công ty Cổ phần Thăng Long GTC,,
▪ Tiền gửi không kỳ hạn tại Ngân hàng,Công ty Cổ phần Thăng Long GTC > ▪ Tiền gửi không kỳ hạn tại Ngân hàng,▪ Tiền gửi không kỳ hạn tại Ngân hàng,(173.126),(8.418),-173126.0,-8418.0
▪ Tiền gửi có kỳ hạn tại Ngân hàng,Công ty Cổ phần Thăng Long GTC > ▪ Tiền gửi có kỳ hạn tại Ngân hàng,▪ Tiền gửi có kỳ hạn tại Ngân hàng,(375.400),(448.400),-375400.0,-448400.0
▪ Tiền vay tại Ngân hàng,Công ty Cổ phần Thăng Long GTC > ▪ Tiền vay tại Ngân hàng,▪ Tiền vay tại Ngân hàng,-,5.332,,5332.0
Công ty Cổ phần Táp đoàn BRG và Công ty con,Công ty Cổ phần Táp đoàn BRG và Công ty con,Công ty Cổ phần Táp đoàn BRG và Công ty con,Công ty Cổ phần Táp đoàn BRG và Công ty con,Công ty Cổ phần Táp đoàn BRG và Công ty con,,
▪ Tiền gửi không kỳ hạn tại Ngân hàng,Công ty Cổ phần Táp đoàn BRG và Công ty con > ▪ Tiền gửi không kỳ hạn tại Ngân hàng,▪ Tiền gửi không kỳ hạn tại Ngân hàng,(139.713),(187.317),-139713.0,-187317.0
▪ Tiền gửi có kỳ hạn tại Ngân hàng,Công ty Cổ phần Táp đoàn BRG và Công ty con > ▪ Tiền gửi có kỳ hạn tại Ngân hàng,▪ Tiền gửi có kỳ hạn tại Ngân hàng,(8.500),(17.500),-8500.0,-17500.0
▪ Tiền vay tại Ngân hàng,Công ty Cổ phần Táp đoàn BRG và Công ty con > ▪ Tiền vay tại Ngân hàng,▪ Tiền vay tại Ngân hàng,-,11.795,,11795.0
Công ty Cổ phần Du lịch Dịch vụ Hà Nội,Công ty Cổ phần Du lịch Dịch vụ Hà Nội,Công ty Cổ phần Du lịch Dịch vụ Hà Nội,Công ty Cổ phần Du lịch Dịch vụ Hà Nội,Công ty Cổ phần Du lịch Dịch vụ Hà Nội,,
▪ Tiền gửi không kỳ hạn tại Ngân hàng,Công ty Cổ phần Du lịch Dịch vụ Hà Nội > ▪ Tiền gửi không kỳ hạn tại Ngân hàng,▪ Tiền gửi không kỳ hạn tại Ngân hàng,(5.259),(4.368),-5259.0,-4368.0
▪ Tiền gửi có kỳ hạn tại Ngân hàng,Công ty Cổ phần Du lịch Dịch vụ Hà Nội > ▪ Tiền gửi có kỳ hạn tại Ngân hàng,▪ Tiền gửi có kỳ hạn tại Ngân hàng,(312.582),(307.727),-312582.0,-307727.0
Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam,,
– CTCP và các công ty con,– CTCP và các công ty con,– CTCP và các công ty con,– CTCP và các công ty con,– CTCP và các công ty con,,
▪ Tiền gửi không kỳ hạn tại Ngân hàng,– CTCP và các công ty con > ▪ Tiền gửi không kỳ hạn tại Ngân hàng,▪ Tiền gửi không kỳ hạn tại Ngân hàng,(23.565),(1.401.529),-23565.0,-1401529.0
▪ Tiền gửi có kỳ hạn tại Ngân hàng,– CTCP và các công ty con > ▪ Tiền gửi có kỳ hạn tại Ngân hàng,▪ Tiền gửi có kỳ hạn tại Ngân hàng,(910.000),(227.900),-910000.0,-227900.0
