row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,396.100,273.762,669.862,396100.0,273762.0,669862.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,24.976,24.976,,24976.0,24976.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,396.100,298.738,694.838,396100.0,298738.0,694838.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,117.904,117.904,,117904.0,117904.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,19.019,19.019,,19019.0,19019.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,136.923,136.923,,136923.0,136923.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,396.100,155.858,551.958,396100.0,155858.0,551958.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,396.100,161.815,557.915,396100.0,161815.0,557915.0
