row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phương Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Tại 31 tháng 12 năm 2019(Triệu VND)","Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phương Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Khônghường lãi","Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phương Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Quá hạn","Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phương Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Dưới1 tháng","Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phương Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 1 đến3 tháng","Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phương Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 3 đến6 tháng","Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phương Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 6 thángđến 12 tháng","Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phương Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 1 đến5 năm","Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phương Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Trên 5năm","Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phương Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Tổng cộng","numeric__Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phương Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Khônghường lãi","numeric__Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phương Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Quá hạn","numeric__Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phương Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Dưới1 tháng","numeric__Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phương Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 1 đến3 tháng","numeric__Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phương Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 3 đến6 tháng","numeric__Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phương Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 6 thángđến 12 tháng","numeric__Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phương Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 1 đến5 năm","numeric__Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phương Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Trên 5năm","numeric__Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phương Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Tổng cộng"
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,1.289.961,-,-,-,-,-,-,-,1.289.961,1289961.0,,,,,,,,1289961.0
Tiền gửi tại Ngân hàngNhà nước,Tài sản > Tiền gửi tại Ngân hàngNhà nước,Tiền gửi tại Ngân hàngNhà nước,-,-,3.231.775,-,-,-,-,-,3.231.775,,,3231775.0,,,,,,3231775.0
Tiền gửi và cho vaycác TCTD khác - gộp,Tài sản > Tiền gửi và cho vaycác TCTD khác - gộp,Tiền gửi và cho vaycác TCTD khác - gộp,-,-,18.461.047,6.717.469,221.135,-,-,-,25.399.651,,,18461047.0,6717469.0,221135.0,,,,25399651.0
Chứng khoán kinh doanh,Tài sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,1.202.578,-,-,-,-,-,1.202.578,,,1202578.0,,,,,,1202578.0
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,33.417,-,-,-,-,-,-,-,33.417,33417.0,,,,,,,,33417.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,-,2.419.254,31.430.255,22.934.182,13.902.850,16.846.089,10.540.792,546.816,98.620.238,,2419254.0,31430255.0,22934182.0,13902850.0,16846089.0,10540792.0,546816.0,98620238.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,-,1.599.898,2.232.196,2.353.864,6.455.225,7.961.670,20.602.853,,,,1599898.0,2232196.0,2353864.0,6455225.0,7961670.0,20602853.0
"Gộp vốn, đầu tư dài hạn","Tài sản > Gộp vốn, đầu tư dài hạn","Gộp vốn, đầu tư dài hạn",1.867.024,-,-,-,-,-,-,-,1.867.024,1867024.0,,,,,,,,1867024.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,768.860,-,-,-,-,-,-,-,768.860,768860.0,,,,,,,,768860.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,6.062.618,-,-,-,-,-,-,-,6.062.618,6062618.0,,,,,,,,6062618.0
,,,10.021.880,2.419.254,54.325.655,31.251.549,16.356.181,19.199.953,16.996.017,8.508.486,159.078.975,10021880.0,2419254.0,54325655.0,31251549.0,16356181.0,19199953.0,16996017.0,8508486.0,159078975.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
"Các khoản nợ Chính phủ, Ngânhàng Nhà nước","Nợ phải trả > Các khoản nợ Chính phủ, Ngânhàng Nhà nước","Các khoản nợ Chính phủ, Ngânhàng Nhà nước",-,-,25.239,60.968,68.086,84.299,-,-,238.592,,,25239.0,60968.0,68086.0,84299.0,,,238592.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,25.530.961,6.235.759,70.655,-,-,-,31.837.375,,,25530961.0,6235759.0,70655.0,,,,31837375.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,22.852.153,16.146.142,11.794.445,26.329.329,18.600.811,9.890,95.732.770,,,22852153.0,16146142.0,11794445.0,26329329.0,18600811.0,9890.0,95732770.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,19.700,99.670,1.882.970,1.945.980,6.774.860,5.100.000,15.823.180,,,19700.0,99670.0,1882970.0,1945980.0,6774860.0,5100000.0,15823180.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,3.308.313,-,-,-,-,-,-,-,3.308.313,3308313.0,,,,,,,,3308313.0
,,,3.308.313,-,48.428.053,22.542.539,13.816.156,28.359.608,25.375.671,5.109.890,146.940.230,3308313.0,,48428053.0,22542539.0,13816156.0,28359608.0,25375671.0,5109890.0,146940230.0
Mức chênh nhạy cảmvới lãi suất,Nợ phải trả > Mức chênh nhạy cảmvới lãi suất,Mức chênh nhạy cảmvới lãi suất,6.713.567,2.419.254,5.897.602,8.709.010,2.540.025,(9.159.655),(8.379.654),3.398.596,12.138.745,6713567.0,2419254.0,5897602.0,8709010.0,2540025.0,-9159655.0,-8379654.0,3398596.0,12138745.0
