row_label_raw,row_label_full,col_0,Doanh thu/(Chi phí),Doanh thu/(Chi phí)_1,numeric__Doanh thu/(Chi phí),numeric__Doanh thu/(Chi phí)_1
,,,2020Triệu VND,2019Triệu VND,,
Công ty TNHH MTV Quản lý nợ và Khai thác tài sản SeABank,Công ty TNHH MTV Quản lý nợ và Khai thác tài sản SeABank,Công ty TNHH MTV Quản lý nợ và Khai thác tài sản SeABank,Công ty TNHH MTV Quản lý nợ và Khai thác tài sản SeABank,Công ty TNHH MTV Quản lý nợ và Khai thác tài sản SeABank,,
▪ Thu nhập lãi cho vay,Công ty TNHH MTV Quản lý nợ và Khai thác tài sản SeABank > ▪ Thu nhập lãi cho vay,▪ Thu nhập lãi cho vay,4.851,53,4851.0,53.0
▪ Chi phí lãi tiền gửi,Công ty TNHH MTV Quản lý nợ và Khai thác tài sản SeABank > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(10.165),(10.216),-10165.0,-10216.0
▪ Chi phí thuê văn phòng,Công ty TNHH MTV Quản lý nợ và Khai thác tài sản SeABank > ▪ Chi phí thuê văn phòng,▪ Chi phí thuê văn phòng,(4.009),(3.262),-4009.0,-3262.0
▪ Thu nhập từ góp vốn,Công ty TNHH MTV Quản lý nợ và Khai thác tài sản SeABank > ▪ Thu nhập từ góp vốn,▪ Thu nhập từ góp vốn,13.725,3.813,13725.0,3813.0
Công ty Tài chính TNHH MTV Bưu điện,Công ty Tài chính TNHH MTV Bưu điện,Công ty Tài chính TNHH MTV Bưu điện,Công ty Tài chính TNHH MTV Bưu điện,Công ty Tài chính TNHH MTV Bưu điện,,
▪ Chi phí lãi tiền gửi,Công ty Tài chính TNHH MTV Bưu điện > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(1.221),(5.973),-1221.0,-5973.0
Công ty TNHH Khách sạn Nhà Hải,Công ty TNHH Khách sạn Nhà Hải,Công ty TNHH Khách sạn Nhà Hải,Công ty TNHH Khách sạn Nhà Hải,Công ty TNHH Khách sạn Nhà Hải,,
▪ Chi phí lãi tiền gửi,Công ty TNHH Khách sạn Nhà Hải > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(3.620),(6.129),-3620.0,-6129.0
Công ty TNHHI Thương mại Quốc tế và Dịch vụ Siêu thị Big C Thăng Long,Công ty TNHHI Thương mại Quốc tế và Dịch vụ Siêu thị Big C Thăng Long,Công ty TNHHI Thương mại Quốc tế và Dịch vụ Siêu thị Big C Thăng Long,Công ty TNHHI Thương mại Quốc tế và Dịch vụ Siêu thị Big C Thăng Long,Công ty TNHHI Thương mại Quốc tế và Dịch vụ Siêu thị Big C Thăng Long,,
▪ Chi phí lãi tiền gửi,Công ty TNHHI Thương mại Quốc tế và Dịch vụ Siêu thị Big C Thăng Long > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(28.180),(37.705),-28180.0,-37705.0
Công ty Có phần Thăng Long GTC,Công ty Có phần Thăng Long GTC,Công ty Có phần Thăng Long GTC,Công ty Có phần Thăng Long GTC,Công ty Có phần Thăng Long GTC,,
▪ Chi phí lãi tiền gửi,Công ty Có phần Thăng Long GTC > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(22.290),(23.011),-22290.0,-23011.0
▪ Thu nhập lãi cho vay,Công ty Có phần Thăng Long GTC > ▪ Thu nhập lãi cho vay,▪ Thu nhập lãi cho vay,227,65,227.0,65.0
Công ty Có phần Tập đoàn BRG và công ty con,Công ty Có phần Tập đoàn BRG và công ty con,Công ty Có phần Tập đoàn BRG và công ty con,Công ty Có phần Tập đoàn BRG và công ty con,Công ty Có phần Tập đoàn BRG và công ty con,,
▪ Chi phí lãi tiền gửi,Công ty Có phần Tập đoàn BRG và công ty con > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(1.540),(1.427),-1540.0,-1427.0
▪ Thu nhập lãi cho vay,Công ty Có phần Tập đoàn BRG và công ty con > ▪ Thu nhập lãi cho vay,▪ Thu nhập lãi cho vay,144,2.664,144.0,2664.0
Công ty Cú phần Du lịch Dịch vụ Hà Nội,Công ty Cú phần Du lịch Dịch vụ Hà Nội,Công ty Cú phần Du lịch Dịch vụ Hà Nội,Công ty Cú phần Du lịch Dịch vụ Hà Nội,Công ty Cú phần Du lịch Dịch vụ Hà Nội,,
▪ Chi phí lãi tiền gửi,Công ty Cú phần Du lịch Dịch vụ Hà Nội > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(15.526),(14.011),-15526.0,-14011.0
Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP và các công ty con,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP và các công ty con,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP và các công ty con,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP và các công ty con,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP và các công ty con,,
▪ Chi phí lãi tiền gửi,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP và các công ty con > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(63.431),(46.306),-63431.0,-46306.0
"Thù lao của Hội đồng Quản trị, Ban Kiểm soátTiền lương, thưởng và phúc lợi khác của Tổng Giám đốc và người quản lý khác","Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP và các công ty con > Thù lao của Hội đồng Quản trị, Ban Kiểm soátTiền lương, thưởng và phúc lợi khác của Tổng Giám đốc và người quản lý khác","Thù lao của Hội đồng Quản trị, Ban Kiểm soátTiền lương, thưởng và phúc lợi khác của Tổng Giám đốc và người quản lý khác",11.200,8.400,11200.0,8400.0
,,,33.062,27.310,33062.0,27310.0
