row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay,Tổng tiền gửi,Các cam kết tín dụng,Công cụ tài chính phải sinh,Kinh doanh và đầu tư chứng khoán,numeric__Tổng dư nợ cho vay,numeric__Tổng tiền gửi,numeric__Các cam kết tín dụng,numeric__Công cụ tài chính phải sinh,numeric__Kinh doanh và đầu tư chứng khoán
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Trong nước,Trong nước,Trong nước,99.463.225,117.375.086,4.752.411,33.417,21.805.431,99463225.0,117375086.0,4752411.0,33417.0,21805431.0
Nước ngoài,Nước ngoài,Nước ngoài,421.692,-,-,-,-,421692.0,,,,
,,,99.884.917,117.375.086,4.752.411,33.417,21.805.431,99884917.0,117375086.0,4752411.0,33417.0,21805431.0
