row_label_raw,row_label_full,Tại 31 tháng 12 năm 2020(Triệu VND),Quá hạn > Trên 3tháng,Quá hạn > Dưới 3tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ 1 đến3 tháng,Trong hạn > Từ 3 đến12 tháng,Trong hạn > Từ 1 đến5 năm,Trong hạn > Trên 5 năm,Trong hạn > Tổng cộng,numeric__Quá hạn > Trên 3tháng,numeric__Quá hạn > Dưới 3tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 đến3 tháng,numeric__Trong hạn > Từ 3 đến12 tháng,numeric__Trong hạn > Từ 1 đến5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Trong hạn > Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.012.074,-,-,-,-,1.012.074,,,1012074.0,,,,,1012074.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,-,3.374.301,-,-,-,-,3.374.301,,,3374301.0,,,,,3374301.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,23.151.828,2.588.500,-,-,-,25.740.328,,,23151828.0,2588500.0,,,,25740328.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,2.683.659,-,-,-,-,2.683.659,,,2683659.0,,,,,2683659.0
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,-,-,-,121.495,23.109,-,-,144.604,,,,121495.0,23109.0,,,144604.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,2.016.864,98.455,4.202.222,5.100.583,51.873.895,22.627.879,22.804.149,108.724.047,2016864.0,98455.0,4202222.0,5100583.0,51873895.0,22627879.0,22804149.0,108724047.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,20.760.907,650.000,2.739.969,6.577.611,1.409.353,32.137.840,,,20760907.0,650000.0,2739969.0,6577611.0,1409353.0,32137840.0
"Gộp vốn, đầu tư dài hạn","Tài sản > Gộp vốn, đầu tư dài hạn","Gộp vốn, đầu tư dài hạn",-,-,-,-,-,-,1.858.172,1.858.172,,,,,,,1858172.0,1858172.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,861.142,861.142,,,,,,,861142.0,861142.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,-,-,375.980,1.489.039,1.146.926,2.148.593,-,5.160.538,,,375980.0,1489039.0,1146926.0,2148593.0,,5160538.0
,,,2.016.864,98.455,55.560.971,9.949.617,55.783.899,31.354.083,26.932.816,181.696.705,2016864.0,98455.0,55560971.0,9949617.0,55783899.0,31354083.0,26932816.0,181696705.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và Ngân hàngNhà nước,Nợ phải trả > Các khoản nợ Chính phủ và Ngân hàngNhà nước,Các khoản nợ Chính phủ và Ngân hàngNhà nước,-,-,25.240,60.968,119.494,-,-,205.702,,,25240.0,60968.0,119494.0,,,205702.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,39.962.336,2.457.464,280.030,-,-,42.699.830,,,39962336.0,2457464.0,280030.0,,,42699830.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,32.262.000,18.678.351,48.480.915,13.876.982,-,113.298.248,,,32262000.0,18678351.0,48480915.0,13876982.0,,113298248.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,104.610,457.490,3.995.220,1.541.420,966.000,7.064.740,,,104610.0,457490.0,3995220.0,1541420.0,966000.0,7064740.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,872.939,693.975,1.500.368,375.481,-,3.442.763,,,872939.0,693975.0,1500368.0,375481.0,,3442763.0
,,,-,-,73.227.125,22.348.248,54.376.027,15.793.883,966.000,166.711.283,,,73227125.0,22348248.0,54376027.0,15793883.0,966000.0,166711283.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,2.016.864,98.455,(17.666.154),(12.398.631),1.407.872,15.560.200,25.966.816,14.985.422,2016864.0,98455.0,-17666154.0,-12398631.0,1407872.0,15560200.0,25966816.0,14985422.0
