row_label_raw,row_label_full,Hà An,Công ty trong cùng tập đoàn,Ký quỹ môi giới Tạm hoàn ứng cho chủ đầu tư Lãi cho vay,1.141.450.000.000 586.750.000.000 8.232.328.767,- - -,numeric__Công ty trong cùng tập đoàn,numeric__Ký quỹ môi giới Tạm hoàn ứng cho chủ đầu tư Lãi cho vay,numeric__1.141.450.000.000 586.750.000.000 8.232.328.767,numeric__- - -
Charm & CI,Charm & CI,Charm & CI,Công ty trong cùng tập đoàn,Ký quỹ môi giới,182.382.257.533,-,,,182382257533.0,
Đất Xanh Miền Nam,Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty con,Góp vốn theo HĐHTKD Cổ tức,36.000.000.000 -,- 3.162.000.000,,,,-3162000000.0
Đất Xanh Miền Trung,Đất Xanh Miền Trung,Đất Xanh Miền Trung,Công ty con,Cổ tức được chia Góp vốn theo HĐHTKD,14.500.000.000,-,,,14500000000.0,
Đất Xanh Miền Tây,Đất Xanh Miền Tây,Đất Xanh Miền Tây,Công ty con,Góp vốn theo HĐHTKD,9.000.000.000,67.326.763.600,,,9000000000.0,67326763600.0
Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Cổ tức Góp vốn theo HĐHTKD,7.785.150.000 -,6.630.000.000 128.849.066.000,,,,
Đất Xanh Đông Nam Bộ,Đất Xanh Miền Bắc > Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Công ty con,Cổ tức,4.057.318.421,1.071.000.000,,,4057318421.0,1071000000.0
DXG,Đất Xanh Miền Bắc > DXG,DXG,Công ty mẹ,Chỉ hộ,2.461.012.482,2.442.444.030,,,2461012482.0,2442444030.0
Các công ty khác,Đất Xanh Miền Bắc > Các công ty khác,Các công ty khác,Khác,Khác,1.538.525.906,379.137.366,,,1538525906.0,379137366.0
,,,,,1.994.156.593.109,216.860.410.996,,,1994156593109.0,216860410996.0
