row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,1.100.000.000.000,-,7.365.271.645,1.107.365.271.645,1100000000000.0,,7365271645.0,1107365271645.0
Tăng vốn,Năm trước > Tăng vốn,Tăng vốn,1.900.000.000.000,-,-,1.900.000.000.000,1900000000000.0,,,1900000000000.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,774.788.724.995,774.788.724.995,,,774788724995.0,774788724995.0
Cổ tức công bố,Năm trước > Cổ tức công bố,Cổ tức công bố,-,-,(743.755.000.000),(743.755.000.000),,,-743755000000.0,-743755000000.0
"Trích quỹ khen thưởng, phúc lợi","Năm trước > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,(5.077.708.413),(5.077.708.413),,,-5077708413.0,-5077708413.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,3.000.000.000.000,-,33.321.288.227,3.033.321.288.227,3000000000000.0,,33321288227.0,3033321288227.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,3.000.000.000.000,-,33.321.288.227,3.033.321.288.227,3000000000000.0,,33321288227.0,3033321288227.0
Tăng vốn (i),Năm nay > Tăng vốn (i),Tăng vốn (i),224.710.220.000,340.683.172.475,-,565.393.392.475,224710220000.0,340683172475.0,,565393392475.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,1.046.729.253.650,1.046.729.253.650,,,1046729253650.0,1046729253650.0
Cổ tức công bố (ii),Năm nay > Cổ tức công bố (ii),Cổ tức công bố (ii),-,-,(529.800.000.000),(529.800.000.000),,,-529800000000.0,-529800000000.0
"Trích quỹ khen thưởng, phúc lợi","Năm nay > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,(23.243.661.750),(23.243.661.750),,,-23243661750.0,-23243661750.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,3.224.710.220.000,340.683.172.475,527.006.880.127,4.092.400.272.602,3224710220000.0,340683172475.0,527006880127.0,4092400272602.0
