row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,,
Đất Xanh Miền Nam,Phải trả ngắn hạn khác > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty con,Nhận ký quỹ,43.000.000.000,-,,,43000000000.0,
LinkGroup,Phải trả ngắn hạn khác > LinkGroup,LinkGroup,Công ty con,Nhận ký quỹ,10.000.000.000,,,,10000000000.0,
Đất Xanh Miền Đông,Phải trả ngắn hạn khác > Đất Xanh Miền Đông,Đất Xanh Miền Đông,Công ty con,Nhận ký quỹ,5.000.000.000,-,,,5000000000.0,
Đất Xanh Premium,Phải trả ngắn hạn khác > Đất Xanh Premium,Đất Xanh Premium,Công ty con,Nhận ký quỹ,4.000.000.000,-,,,4000000000.0,
Đất Xanh Đông Nam Bộ,Phải trả ngắn hạn khác > Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Công ty con,Nhận ký quỹ,3.000.000.000,-,,,3000000000.0,
Đất Xanh Nam Bộ,Phải trả ngắn hạn khác > Đất Xanh Nam Bộ,Đất Xanh Nam Bộ,Công ty con,Nhận ký quỹ,2.000.000.000,-,,,2000000000.0,
Đất Xanh Miền Tây,Phải trả ngắn hạn khác > Đất Xanh Miền Tây,Đất Xanh Miền Tây,Công ty con,Nhận ký quỹ,2.000.000.000,-,,,2000000000.0,
Đất Xanh Miền Bắc,Phải trả ngắn hạn khác > Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Nhận ký quỹ,2.000.000.000,-,,,2000000000.0,
Asahi,Phải trả ngắn hạn khác > Asahi,Asahi,Công ty con,Nhận ký quỹ,2.000.000.000,-,,,2000000000.0,
Đất Xanh Nam Trung Bộ,Phải trả ngắn hạn khác > Đất Xanh Nam Trung Bộ,Đất Xanh Nam Trung Bộ,Công ty con,Nhận ký quỹ,1.000.000.000,-,,,1000000000.0,
Linkhouse,Phải trả ngắn hạn khác > Linkhouse,Linkhouse,Công ty con,Nhận ký quỹ,1.000.000.000,-,,,1000000000.0,
Đất Xanh Plus DXG,Phải trả ngắn hạn khác > Đất Xanh Plus DXG,Đất Xanh Plus DXG,Công ty con,Nhận ký quỹ,500.000.000,-,,,500000000.0,
Đất Xanh Plus DXG,Phải trả ngắn hạn khác > Đất Xanh Plus DXG,Đất Xanh Plus DXG,Công ty mẹ,Cổ tức phải trả,-,2.125.818.182,,,,2125818182.0
,,,,,75.500.000.000,2.125.818.182,,,75500000000.0,2125818182.0
