row_label_raw,row_label_full,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng hoạt động,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
Tên công ty con,Tên công ty con,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tỷ lệ sở hữu %,Giá gốc đầu tư VND,Tỷ lệ sở hữu %,Giá gốc đầu tư VND,,,,,,
"Công ty Cổ phần Đất Xanh Miền Trung (""Đất Xanh Miền Trung"") (i)","Tên công ty con > Công ty Cổ phần Đất Xanh Miền Trung (""Đất Xanh Miền Trung"") (i)","Công ty Cổ phần Đất Xanh Miền Trung (""Đất Xanh Miền Trung"") (i)",Kinh doanh và môi giới BĐS,Đang hoạt động,55,774.629.900.000,55,495.284.900.000,,,55.0,774629900000.0,55.0,495284900000.0
"Công ty Cổ phần Bất động sản LinkGroup (""LinkGroup"") (ii)","Tên công ty con > Công ty Cổ phần Bất động sản LinkGroup (""LinkGroup"") (ii)","Công ty Cổ phần Bất động sản LinkGroup (""LinkGroup"") (ii)",Kinh doanh và môi giới BĐS,Đang hoạt động,"80,47",544.312.591.100,-,-,,,80.47,544312591100.0,,
"Công ty Cổ phần Dịch vụ và Địa ốc Đất Xanh Miền Bắc (""Đất Xanh Miền Bắc"") (iii)","Tên công ty con > Công ty Cổ phần Dịch vụ và Địa ốc Đất Xanh Miền Bắc (""Đất Xanh Miền Bắc"") (iii)","Công ty Cổ phần Dịch vụ và Địa ốc Đất Xanh Miền Bắc (""Đất Xanh Miền Bắc"") (iii)",Kinh doanh và môi giới BĐS,Đang hoạt động,"63,5",553.260.261.498,51,326.507.100.000,,,63.5,553260261498.0,51.0,326507100000.0
"Công ty Cổ phần Dịch vụ và Đầu tư Đất Xanh Đông Nam Bộ (""Đất Xanh Đông Nam Bộ"") (iv)","Tên công ty con > Công ty Cổ phần Dịch vụ và Đầu tư Đất Xanh Đông Nam Bộ (""Đất Xanh Đông Nam Bộ"") (iv)","Công ty Cổ phần Dịch vụ và Đầu tư Đất Xanh Đông Nam Bộ (""Đất Xanh Đông Nam Bộ"") (iv)",Kinh doanh và môi giới BĐS,Đang hoạt động,70,299.153.869.035,51,87.286.500.000,,,70.0,299153869035.0,51.0,87286500000.0
"Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Nam (""Đất Xanh Miền Nam"") (v)","Tên công ty con > Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Nam (""Đất Xanh Miền Nam"") (v)","Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Nam (""Đất Xanh Miền Nam"") (v)",Kinh doanh và môi giới BĐS,Đang hoạt động,65,227.028.645.600,51,139.712.460.000,,,65.0,227028645600.0,51.0,139712460000.0
"Công ty Cổ phần Dịch vụ Bất Đông Sản Đất Xanh Nam Trung Bộ (""Đất Xanh Nam Trung Bộ"") (vi)","Tên công ty con > Công ty Cổ phần Dịch vụ Bất Đông Sản Đất Xanh Nam Trung Bộ (""Đất Xanh Nam Trung Bộ"") (vi)","Công ty Cổ phần Dịch vụ Bất Đông Sản Đất Xanh Nam Trung Bộ (""Đất Xanh Nam Trung Bộ"") (vi)",Kinh doanh và môi giới BĐS,Đang hoạt động,71,107.152.570.550,51,36.956.744.550,,,71.0,107152570550.0,51.0,36956744550.0
"Công ty Cổ phần Dịch vụ và Đầu tư Đất Xanh Miền Tây (""Đất Xanh Miền Tây"") (vii)","Tên công ty con > Công ty Cổ phần Dịch vụ và Đầu tư Đất Xanh Miền Tây (""Đất Xanh Miền Tây"") (vii)","Công ty Cổ phần Dịch vụ và Đầu tư Đất Xanh Miền Tây (""Đất Xanh Miền Tây"") (vii)",Kinh doanh và môi giới BĐS,Đang hoạt động,61,102.895.920.000,51,60.180.000.000,,,61.0,102895920000.0,51.0,60180000000.0
"Công ty Cổ phần Đất Xanh Premium ("" Đất Xanh Premium"")","Tên công ty con > Công ty Cổ phần Đất Xanh Premium ("" Đất Xanh Premium"")","Công ty Cổ phần Đất Xanh Premium ("" Đất Xanh Premium"")",Kinh doanh và môi giới BĐS,Đang hoạt động,59,26.885.120.000,-,-,,,59.0,26885120000.0,,
"Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Đông (""Đất Xanh Miền Đông"")","Tên công ty con > Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Đông (""Đất Xanh Miền Đông"")","Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Đông (""Đất Xanh Miền Đông"")",Kinh doanh và môi giới BĐS,Đang hoạt động,61,14.733.400.000,51,10.200.000.000,,,61.0,14733400000.0,51.0,10200000000.0
