row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
Hà An,Phải thu ngắn hạn của khách hàng > Hà An,Hà An,Công ty trong cùng tập đoàn,Doanh thu môi giới,373.314.546.386,-,,,373314546386.0,
DXI,Phải thu ngắn hạn của khách hàng > DXI,DXI,Bên liên quan,Doanh thu môi giới,60.686.692.798,-,,,60686692798.0,
Đất Xanh Miền Nam,Phải thu ngắn hạn của khách hàng > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty con,Doanh thu môi giới,26.915.240.640,24.925.791,,,26915240640.0,24925791.0
Đất Xanh Miền Tây,Phải thu ngắn hạn của khách hàng > Đất Xanh Miền Tây,Đất Xanh Miền Tây,Công ty con,Doanh thu được chia từ HĐHTKD,1.683.733.658,-,,,1683733658.0,
Đất Xanh Miền Bắc,Phải thu ngắn hạn của khách hàng > Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Doanh thu được chia từ HĐHTKD,123.796.442,39.078.317.000,,,123796442.0,39078317000.0
Các công ty con khác,Phải thu ngắn hạn của khách hàng > Các công ty con khác,Các công ty con khác,Công ty con,Doanh thu được chia từ HĐHTKD và môi giới,447.614.443,8.045.984.279,,,447614443.0,8045984279.0
,,,,,463.171.624.367,47.149.227.070,,,463171624367.0,47149227070.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,,
Đất Xanh Miền Đông,Trả trước cho người bán ngắn hạn > Đất Xanh Miền Đông,Đất Xanh Miền Đông,Công ty con,Tạm ứng phí dịch vụ môi giới,7.286.098.092,-,,,7286098092.0,
Đất Xanh Đông Nam Bộ,Trả trước cho người bán ngắn hạn > Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Công ty con,Tạm ứng phí dịch vụ môi giới,6.329.439.105,-,,,6329439105.0,
Đất Xanh Miền Nam,Trả trước cho người bán ngắn hạn > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty con,Tạm ứng phí dịch vụ môi giới,4.471.361.003,-,,,4471361003.0,
Đất Xanh Premium,Trả trước cho người bán ngắn hạn > Đất Xanh Premium,Đất Xanh Premium,Công ty con,Tạm ứng phí dịch vụ môi giới,1.956.860.918,-,,,1956860918.0,
Đất Xanh Nam Bộ,Trả trước cho người bán ngắn hạn > Đất Xanh Nam Bộ,Đất Xanh Nam Bộ,Công ty con,Tạm ứng phí dịch vụ môi giới,1.050.799.672,-,,,1050799672.0,
Các công ty khác,Trả trước cho người bán ngắn hạn > Các công ty khác,Các công ty khác,Bên liên quan,Tạm ứng phí dịch vụ môi giới,2.306.472.338,-,,,2306472338.0,
,,,,,23.401.031.128,-,,,23401031128.0,
