row_label_raw,row_label_full,A.7.12. Bad debts treatedBad debts treated,Ending balance,Opening balance,numeric__Ending balance,numeric__Opening balance
Shinec Joint Stock Company,Shinec Joint Stock Company,Shinec Joint Stock Company,172.000.000,172.000.000,172000000.0,172000000.0
Total,Total,Total,172.000.000,172.000.000,172000000.0,172000000.0
A.7.13. Financial assets listed/registered transactions of the CompanyFinancial assets,A.7.13. Financial assets listed/registered transactions of the CompanyFinancial assets,A.7.13. Financial assets listed/registered transactions of the CompanyFinancial assets,Ending balance,Opening balance,,
1. Freely transferring financial assets,A.7.13. Financial assets listed/registered transactions of the CompanyFinancial assets > 1. Freely transferring financial assets,1. Freely transferring financial assets,401.061.950.000,463.004.470.000,401061950000.0,463004470000.0
2. Limited transferring financial assets,2. Limited transferring financial assets,2. Limited transferring financial assets,,,,
Total,2. Limited transferring financial assets > Total,Total,401.061.950.000,463.004.470.000,401061950000.0,463004470000.0
A.7.14. Financial assets have not been deposited yet at Vietnam Securities Depository,A.7.14. Financial assets have not been deposited yet at Vietnam Securities Depository,A.7.14. Financial assets have not been deposited yet at Vietnam Securities Depository,A.7.14. Financial assets have not been deposited yet at Vietnam Securities Depository,A.7.14. Financial assets have not been deposited yet at Vietnam Securities Depository,,
Financial assets,Financial assets,Financial assets,Ending balance,Opening balance,,
Freely transferred financial assets of the Company - OTC,Financial assets > Freely transferred financial assets of the Company - OTC,Freely transferred financial assets of the Company - OTC,502.676.440.000,2.674.730.000,502676440000.0,2674730000.0
Mortgaged and traded financial assets of the Company - OTC,Financial assets > Mortgaged and traded financial assets of the Company - OTC,Mortgaged and traded financial assets of the Company - OTC,1.100.000.000.000,120.000.000.000,1100000000000.0,120000000000.0
"Listed financial assets/ registered transactions have not been deposited yet at Vietnam Securities Depository of the Company, freely transferred yet","Financial assets > Listed financial assets/ registered transactions have not been deposited yet at Vietnam Securities Depository of the Company, freely transferred yet","Listed financial assets/ registered transactions have not been deposited yet at Vietnam Securities Depository of the Company, freely transferred yet",120.000.000.000,84.000.000.000,120000000000.0,84000000000.0
"Listed financial assets/ registered transactions have not been deposited yet at Vietnam Securities Depository of the Company, limited to transfer","Listed financial assets/ registered transactions have not been deposited yet at Vietnam Securities Depository of the Company, limited to transfer","Listed financial assets/ registered transactions have not been deposited yet at Vietnam Securities Depository of the Company, limited to transfer",,,,
Total,"Listed financial assets/ registered transactions have not been deposited yet at Vietnam Securities Depository of the Company, limited to transfer > Total",Total,1.722.676.440.000,206.674.730.000,1722676440000.0,206674730000.0
A.7.15. Financial assets listed/registered transactions of Investors,A.7.15. Financial assets listed/registered transactions of Investors,A.7.15. Financial assets listed/registered transactions of Investors,A.7.15. Financial assets listed/registered transactions of Investors,A.7.15. Financial assets listed/registered transactions of Investors,,
Financial assets,Financial assets,Financial assets,Ending balance,Opening balance,,
1. Freely transferred financial assets,Financial assets > 1. Freely transferred financial assets,1. Freely transferred financial assets,33.791.343.565.245,30.915.187.615.975,33791343565245.0,30915187615975.0
2. Restrictedly transferred financial assets,Financial assets > 2. Restrictedly transferred financial assets,2. Restrictedly transferred financial assets,426.953.920.000,111.405.300.000,426953920000.0,111405300000.0
3. Mortgaged financial assets,Financial assets > 3. Mortgaged financial assets,3. Mortgaged financial assets,1.122.311.090.000,1.133.522.100.000,1122311090000.0,1133522100000.0
4. Blocked financial assets,Financial assets > 4. Blocked financial assets,4. Blocked financial assets,10.482.190.000,10.715.400.000,10482190000.0,10715400000.0
5. Awaiting settlement financial assets,Financial assets > 5. Awaiting settlement financial assets,5. Awaiting settlement financial assets,396.282.246.900,296.592.669.000,396282246900.0,296592669000.0
6. Awaiting lending financial assets,6. Awaiting lending financial assets,6. Awaiting lending financial assets,,,,
Total,6. Awaiting lending financial assets > Total,Total,35.747.373.012.145,32.467.423.084.975,35747373012145.0,32467423084975.0
