row_label_raw,row_label_full,Loans and receivables,Ending balance,Ending balance_1,Opening balance,Opening balance_1,numeric__Ending balance,numeric__Ending balance_1,numeric__Opening balance,numeric__Opening balance_1
Loans and receivables,Loans and receivables,Loans and receivables,Cost,Reasonable cost,Cost,Reasonable cost,,,,
Loans for advance payment on securities sales and margin,Loans and receivables > Loans for advance payment on securities sales and margin,Loans for advance payment on securities sales and margin,8.248.145.852.555,8.237.260.236.379,7.068.146.259.945,7.057.260.643.769,8248145852555.0,8237260236379.0,7068146259945.0,7057260643769.0
trading transactions Of which Margin transactions,Loans and receivables > trading transactions Of which Margin transactions,trading transactions Of which Margin transactions,7.430.869.619.855,7.419.984.003.679,6.650.578.286.459,6.639.692.670.283,7430869619855.0,7419984003679.0,6650578286459.0,6639692670283.0
