row_label_raw,row_label_full,Tên đơn vị,Mối quan hệ,numeric__Mối quan hệ
"SBI FINANCIAL SERVICES CO., LTD","SBI FINANCIAL SERVICES CO., LTD","SBI FINANCIAL SERVICES CO., LTD",Cổ đông lớn,
Công ty Cổ Phần FPT,Công ty Cổ Phần FPT,Công ty Cổ Phần FPT,Cổ đông lớn,
Công ty TNHH FPT IS,Công ty TNHH FPT IS,Công ty TNHH FPT IS,Bên có liên quan,
Công ty Cổ Phần May Sông Hồng,Công ty Cổ Phần May Sông Hồng,Công ty Cổ Phần May Sông Hồng,Bên có liên quan (từ ngày 23/07/2025),
"Hội đồng quản trị, Ban Tổng Giám đốc, Ủy ban kiểm toán, Kế toán trường, Người được ủy quyền công bố thông tin","Hội đồng quản trị, Ban Tổng Giám đốc, Ủy ban kiểm toán, Kế toán trường, Người được ủy quyền công bố thông tin","Hội đồng quản trị, Ban Tổng Giám đốc, Ủy ban kiểm toán, Kế toán trường, Người được ủy quyền công bố thông tin",Ban điều hành và các nhân sự chủ chốt,
