row_label_raw,row_label_full,No.,Other income,Current period,Previous period,numeric__Other income,numeric__Current period,numeric__Previous period
1,1,1,Income from liquidation of fixed assets,91.902.089,57.407.407,,91902089.0,57407407.0
2,2,2,Revenue from sale of Token card,155.804.330,94.436.460,,155804330.0,94436460.0
3,3,3,Income from investors' transfer money service,1.478.264.161,1.368.314.737,,1478264161.0,1368314737.0
4,4,4,Other income,68.185.538.876,56.581.588.988,,68185538876.0,56581588988.0
Total,Total,Total,Total,69.911.509.456,58.101.747.592,,69911509456.0,58101747592.0
