row_label_raw,row_label_full,Deposits of Investors,Ending balance,Opening balance,numeric__Ending balance,numeric__Opening balance
1. Deposits of investors on securities trading managed by the Company,1. Deposits of investors on securities trading managed by the Company,1. Deposits of investors on securities trading managed by the Company,3.383.373.905.203,2.773.603.471.001,3383373905203.0,2773603471001.0
1.1. Deposits of local investors on securities trading managed by the Company,1.1. Deposits of local investors on securities trading managed by the Company,1.1. Deposits of local investors on securities trading managed by the Company,3.354.560.978.096,2.727.014.848.853,3354560978096.0,2727014848853.0
1.2. Deposits of foreign investors on securities trading managed by the Company,1.2. Deposits of foreign investors on securities trading managed by the Company,1.2. Deposits of foreign investors on securities trading managed by the Company,28.812.927.107,46.588.622.148,28812927107.0,46588622148.0
2. Deposits for trading of securities for clients,2. Deposits for trading of securities for clients,2. Deposits for trading of securities for clients,,,,
3. Deposits and settlement of securities transactions by investors,3. Deposits and settlement of securities transactions by investors,3. Deposits and settlement of securities transactions by investors,,,,
3.1. Deposits and settlement of securities transactions by domestic investors,3.1. Deposits and settlement of securities transactions by domestic investors,3.1. Deposits and settlement of securities transactions by domestic investors,,,,
3.2. Deposits and settlement of securities transactions by foreign investors,3.2. Deposits and settlement of securities transactions by foreign investors,3.2. Deposits and settlement of securities transactions by foreign investors,,,,
