row_label_raw,row_label_full,"A.7.21.Phải trả cổ tức, gốc và lãi trái phiếu- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn",Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
"A.7.21.Phải trả cổ tức, gốc và lãi trái phiếu- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn","A.7.21.Phải trả cổ tức, gốc và lãi trái phiếu- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn","A.7.21.Phải trả cổ tức, gốc và lãi trái phiếu- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn",5.033.376.500,4.369.700.500,5033376500.0,4369700500.0
Cộng,Cộng,Cộng,5.033.376.500,4.369.700.500,5033376500.0,4369700500.0
A.7.22. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác,A.7.22. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác,A.7.22. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác,Số cuối năm,Số đầu năm,,
A.7.22. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác,A.7.22. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác > A.7.22. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác,A.7.22. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác,54.735.285.838,15.052.758.544,54735285838.0,15052758544.0
A.7.22. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác,A.7.22. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác > A.7.22. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác,A.7.22. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác,15.912.581.120,14.257.605.893,15912581120.0,14257605893.0
A.7.22. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác,A.7.22. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác > A.7.22. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác,A.7.22. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác,2.788.594.205,1.371.156.340,2788594205.0,1371156340.0
Cộng,A.7.22. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác > Cộng,Cộng,73.436.461.163,30.681.520.777,73436461163.0,30681520777.0
A.7.23. Chi phí phải trả,A.7.23. Chi phí phải trả,A.7.23. Chi phí phải trả,Số cuối năm,Số đầu năm,,
"Phí GDCK, phí lưu ký và chuyển khoản, phí đại lý mở tài khoản, lãi vay cho giao dịch ký quỹ","A.7.23. Chi phí phải trả > Phí GDCK, phí lưu ký và chuyển khoản, phí đại lý mở tài khoản, lãi vay cho giao dịch ký quỹ","Phí GDCK, phí lưu ký và chuyển khoản, phí đại lý mở tài khoản, lãi vay cho giao dịch ký quỹ",21.499.330.495,9.246.767.305,21499330495.0,9246767305.0
Cộng,A.7.23. Chi phí phải trả > Cộng,Cộng,21.499.330.495,9.246.767.305,21499330495.0,9246767305.0
A.7.24. Phải trả người bán,A.7.24. Phải trả người bán,A.7.24. Phải trả người bán,Số cuối năm,Số đầu năm,,
CN CT TNHH MTV Viễn thông Quốc tế FPT,A.7.24. Phải trả người bán > CN CT TNHH MTV Viễn thông Quốc tế FPT,CN CT TNHH MTV Viễn thông Quốc tế FPT,968.886.432,685.088,968886432.0,685088.0
Công ty CP Công Nghệ An Ninh Không Gian Mạng Việt Nam,A.7.24. Phải trả người bán > Công ty CP Công Nghệ An Ninh Không Gian Mạng Việt Nam,Công ty CP Công Nghệ An Ninh Không Gian Mạng Việt Nam,168.000.000,,168000000.0,
Công ty TNHH VNCREATIVE,A.7.24. Phải trả người bán > Công ty TNHH VNCREATIVE,Công ty TNHH VNCREATIVE,27.864.000,,27864000.0,
Công ty TNHH FPT Smart Cloud,A.7.24. Phải trả người bán > Công ty TNHH FPT Smart Cloud,Công ty TNHH FPT Smart Cloud,15.120.000,63.125.260,15120000.0,63125260.0
Chi nhánh Công ty TNHH Lavie -tại HN,A.7.24. Phải trả người bán > Chi nhánh Công ty TNHH Lavie -tại HN,Chi nhánh Công ty TNHH Lavie -tại HN,12.971.880,21.875.400,12971880.0,21875400.0
Công ty CP Đầu Tư Thương Mại Thăng Hoa,A.7.24. Phải trả người bán > Công ty CP Đầu Tư Thương Mại Thăng Hoa,Công ty CP Đầu Tư Thương Mại Thăng Hoa,10.980.000,,10980000.0,
Nguyễn Việt An,A.7.24. Phải trả người bán > Nguyễn Việt An,Nguyễn Việt An,7.777.777,,7777777.0,
Công ty CP DV Công Nghệ TSC VN,A.7.24. Phải trả người bán > Công ty CP DV Công Nghệ TSC VN,Công ty CP DV Công Nghệ TSC VN,6.701.400,8.212.400,6701400.0,8212400.0
Công ty CP Di Chuyển Xanh và Thông Minh GSM,A.7.24. Phải trả người bán > Công ty CP Di Chuyển Xanh và Thông Minh GSM,Công ty CP Di Chuyển Xanh và Thông Minh GSM,4.541.047,,4541047.0,
Công ty CP Viễn Thông FPT,A.7.24. Phải trả người bán > Công ty CP Viễn Thông FPT,Công ty CP Viễn Thông FPT,896.500,35.346.500,896500.0,35346500.0
Công ty TNHH Dịch Vụ Tin Học FPT,A.7.24. Phải trả người bán > Công ty TNHH Dịch Vụ Tin Học FPT,Công ty TNHH Dịch Vụ Tin Học FPT,,515.680.000,,515680000.0
Công ty TNHH Phần Mềm FPT,A.7.24. Phải trả người bán > Công ty TNHH Phần Mềm FPT,Công ty TNHH Phần Mềm FPT,,250.000.800,,250000800.0
