row_label_raw,row_label_full,No.,Type of bad receivable must make provision,Value of bad receivable,Ref.,Ending balance,Ending balance_1,Ending balance_2,Ending balance_3,Opening balance,numeric__Type of bad receivable must make provision,numeric__Value of bad receivable,numeric__Ref.,numeric__Ending balance,numeric__Ending balance_1,numeric__Ending balance_2,numeric__Ending balance_3,numeric__Opening balance
No.,No.,No.,Type of bad receivable must make provision,Value of bad receivable,Ref.,Opening balance,Taking number in the period,Revert number in the period,Ending balance,Opening balance,,,,,,,,
1,1,1,Provision for bad receivable from the sale of financial assets,,,,,,,,,,,,,,,
2,2,2,"Provision for bad receivable and accrued dividends, interest due date till the due date",,,,,,,,,,,,,,,
3,3,3,Provision for doubtful receivables of maturity investments,,,,,,,,,,,,,,,
4,3 > 4,4,Provision for doubtful receivables,215.150.000,,173.475.000,25.935.000,,199.410.000,173.475.000,,215150000.0,,173475000.0,25935000.0,,199410000.0,173475000.0
,,,Lisemco JSC,71.500.000,,71.500.000,,,71.500.000,71.500.000,,71500000.0,,71500000.0,,,71500000.0,71500000.0
,,,Phu Thanh Garment JSC,13.200.000,,13.200.000,,,13.200.000,13.200.000,,13200000.0,,13200000.0,,,13200000.0,13200000.0
,,,EDX Group JSC,16.500.000,,16.500.000,,,16.500.000,16.500.000,,16500000.0,,16500000.0,,,16500000.0,16500000.0
,,,Thong Quang Ninh JSC,7.700.000,,7.700.000,,,7.700.000,7.700.000,,7700000.0,,7700000.0,,,7700000.0,7700000.0
,,,Ha Tay Commercial JSC,13.200.000,,13.200.000,,,13.200.000,13.200.000,,13200000.0,,13200000.0,,,13200000.0,13200000.0
,,,APAX English JSC,32.850.000,,22.995.000,9.855.000,,32.850.000,22.995.000,,32850000.0,,22995000.0,9855000.0,,32850000.0,22995000.0
,,,Dong A Hotel Group JSC,13.200.000,,9.240.000,3.960.000,,13.200.000,9.240.000,,13200000.0,,9240000.0,3960000.0,,13200000.0,9240000.0
,,,Construction and Industrial Production JSC,22.000.000,,13.640.000,5.720.000,,19.360.000,13.640.000,,22000000.0,,13640000.0,5720000.0,,19360000.0,13640000.0
,,,No. 9 Mechanical & Construction JSC,14.000.000,,,4.200.000,,4.200.000,5.500.000,,14000000.0,,,4200000.0,,4200000.0,5500000.0
,,,Bao Thu Industrial Investment and Development JSC,11.000.000,,5.500.000,2.200.000,,7.700.000,,,11000000.0,,5500000.0,2200000.0,,7700000.0,
,,,Total,215.150.000,,173.475.000,25.935.000,,199.410.000,173.475.000,,215150000.0,,173475000.0,25935000.0,,199410000.0,173475000.0
