row_label_raw,row_label_full,No.,Transactions,Ending balance,Opening balance,numeric__Transactions,numeric__Ending balance,numeric__Opening balance
A,A,A,B,1,2,,1.0,2.0
,,,Deposits in bank at the end of the period:,,,,,
,,,- Investors’ deposits on Securities trading managed by the Company,3.383.373.905.203,2.773.603.471.001,,3383373905203.0,2773603471001.0
,,,- Deposits of Issuing Organization,2.160.111.300,1.896.647.800,,2160111300.0,1896647800.0
,,,Total,3.385.534.016.503,2.775.500.118.801,,3385534016503.0,2775500118801.0
