row_label_raw,row_label_full,No.,Types of revenue from other activities,Current period,Previous period,numeric__Types of revenue from other activities,numeric__Current period,numeric__Previous period
1,1,1,Revenue from auction agent,,,,,
2,1 > 2,2,"Revenue from paying principal, bond interest and dividend to Investors on behalf of issuers",58.633.729,91.500.000,,58633729.0,91500000.0
3,1 > 3,3,Collateral assets management cost,30.700.000,40.800.000,,30700000.0,40800000.0
4,1 > 4,4,Other revenue,492.490.000,143.080.000,,492490000.0,143080000.0
Total,1 > Total,Total,Total,581.823.729,275.380.000,,581823729.0,275380000.0
