row_label_raw,row_label_full,col_0,col_1,Value (VND),Value (VND)_1,numeric__col_1,numeric__Value (VND),numeric__Value (VND)_1
,,,,This year,Previous year,,,
* Members of the Board of Directors,* Members of the Board of Directors,* Members of the Board of Directors,* Members of the Board of Directors,* Members of the Board of Directors,* Members of the Board of Directors,,,
Tran Thanh Tung,* Members of the Board of Directors > Tran Thanh Tung,Tran Thanh Tung,- Members of the Board of Directors,120.000.000,96.000.000,,120000000.0,96000000.0
Chairman and other members of the Board of Directors do not receive remuneration,Chairman and other members of the Board of Directors do not receive remuneration,Chairman and other members of the Board of Directors do not receive remuneration,Chairman and other members of the Board of Directors do not receive remuneration,Chairman and other members of the Board of Directors do not receive remuneration,Chairman and other members of the Board of Directors do not receive remuneration,,,
* Salary of members of the Board of Management,* Salary of members of the Board of Management,* Salary of members of the Board of Management,* Salary of members of the Board of Management,* Salary of members of the Board of Management,* Salary of members of the Board of Management,,,
Members of the Board of Management,Members of the Board of Management,Members of the Board of Management,Members of the Board of Management,Members of the Board of Management,Members of the Board of Management,,,
Nguyen Diep Tung,Members of the Board of Management > Nguyen Diep Tung,Nguyen Diep Tung,- General Director,791.340.000,886.380.000,,791340000.0,886380000.0
Nguyen Van Dung,Members of the Board of Management > Nguyen Van Dung,Nguyen Van Dung,- Vice General Director,396.940.000,680.580.000,,396940000.0,680580000.0
Nguyen Thi Thu Huong,Members of the Board of Management > Nguyen Thi Thu Huong,Nguyen Thi Thu Huong,- Vice General Director,572.040.000,649.080.000,,572040000.0,649080000.0
Nguyen Thi Hạnh,Members of the Board of Management > Nguyen Thi Hạnh,Nguyen Thi Hạnh,- Vice General Director,169.150.000,,,169150000.0,
,,,,1.929.470.000,2.216.040.000,,1929470000.0,2216040000.0
