row_label_raw,row_label_full,No.,Types of general expenses,Current period,Previous period,numeric__Types of general expenses,numeric__Current period,numeric__Previous period
1,1,1,Salary and others items according to salary,44.752.072.526,46.669.376.696,,44752072526.0,46669376696.0
2,2,2,"Social, Health and Unemployment insurances, Trade Union fees",3.334.989.700,3.230.317.000,,3334989700.0,3230317000.0
3,3,3,Training and recruitment cost,277.564.064,288.663.640,,277564064.0,288663640.0
4,4,4,Office supplies,2.776.525.862,2.910.192.385,,2776525862.0,2910192385.0
5,5,5,Accumulated depreciation expenses,12.387.739.823,14.791.959.358,,12387739823.0,14791959358.0
6,6,6,"Tax expense, fee and charge",16.312.854,20.936.084,,16312854.0,20936084.0
7,7,7,Outsourced services,20.607.142.707,20.262.129.160,,20607142707.0,20262129160.0
8,8,8,Other expenses,1.400.007.871,1.664.244.367,,1400007871.0,1664244367.0
Total,Total,Total,Total,85.552.355.407,89.837.818.690,,85552355407.0,89837818690.0
