row_label_raw,row_label_full,A.7.7. Inventories- Office supplies,Ending balance,Opening balance,numeric__Ending balance,numeric__Opening balance
A.7.7. Inventories- Office supplies,A.7.7. Inventories- Office supplies,A.7.7. Inventories- Office supplies,1.032.362.460,1.334.990.049,1032362460.0,1334990049.0
Total,Total,Total,1.032.362.460,1.334.990.049,1032362460.0,1334990049.0
"A.7.8. Prepaid expensesa. Short-term prepaid expenses(including: internet connection, member and connecting fee, software maintenance warranty, etc...)b. Long-term prepaid expenses(including: transmission line costs, digital signature software, and building repairs)","A.7.8. Prepaid expensesa. Short-term prepaid expenses(including: internet connection, member and connecting fee, software maintenance warranty, etc...)b. Long-term prepaid expenses(including: transmission line costs, digital signature software, and building repairs)","A.7.8. Prepaid expensesa. Short-term prepaid expenses(including: internet connection, member and connecting fee, software maintenance warranty, etc...)b. Long-term prepaid expenses(including: transmission line costs, digital signature software, and building repairs)",Ending balance,Opening balance,,
"A.7.8. Prepaid expensesa. Short-term prepaid expenses(including: internet connection, member and connecting fee, software maintenance warranty, etc...)b. Long-term prepaid expenses(including: transmission line costs, digital signature software, and building repairs)","A.7.8. Prepaid expensesa. Short-term prepaid expenses(including: internet connection, member and connecting fee, software maintenance warranty, etc...)b. Long-term prepaid expenses(including: transmission line costs, digital signature software, and building repairs) > A.7.8. Prepaid expensesa. Short-term prepaid expenses(including: internet connection, member and connecting fee, software maintenance warranty, etc...)b. Long-term prepaid expenses(including: transmission line costs, digital signature software, and building repairs)","A.7.8. Prepaid expensesa. Short-term prepaid expenses(including: internet connection, member and connecting fee, software maintenance warranty, etc...)b. Long-term prepaid expenses(including: transmission line costs, digital signature software, and building repairs)",2.396.437.017,3.143.226.089,2396437017.0,3143226089.0
"A.7.8. Prepaid expensesa. Short-term prepaid expenses(including: internet connection, member and connecting fee, software maintenance warranty, etc...)b. Long-term prepaid expenses(including: transmission line costs, digital signature software, and building repairs)","A.7.8. Prepaid expensesa. Short-term prepaid expenses(including: internet connection, member and connecting fee, software maintenance warranty, etc...)b. Long-term prepaid expenses(including: transmission line costs, digital signature software, and building repairs) > A.7.8. Prepaid expensesa. Short-term prepaid expenses(including: internet connection, member and connecting fee, software maintenance warranty, etc...)b. Long-term prepaid expenses(including: transmission line costs, digital signature software, and building repairs)","A.7.8. Prepaid expensesa. Short-term prepaid expenses(including: internet connection, member and connecting fee, software maintenance warranty, etc...)b. Long-term prepaid expenses(including: transmission line costs, digital signature software, and building repairs)",5.046.824.671,5.525.991.266,5046824671.0,5525991266.0
Total,"A.7.8. Prepaid expensesa. Short-term prepaid expenses(including: internet connection, member and connecting fee, software maintenance warranty, etc...)b. Long-term prepaid expenses(including: transmission line costs, digital signature software, and building repairs) > Total",Total,7.443.261.688,8.669.217.355,7443261688.0,8669217355.0
A.7.9. Payment to Settlement Assistance Fund- Original payment- Additional payment- Interest distributed throughout the year,A.7.9. Payment to Settlement Assistance Fund- Original payment- Additional payment- Interest distributed throughout the year,A.7.9. Payment to Settlement Assistance Fund- Original payment- Additional payment- Interest distributed throughout the year,Ending balance,Opening balance,,
A.7.9. Payment to Settlement Assistance Fund- Original payment- Additional payment- Interest distributed throughout the year,A.7.9. Payment to Settlement Assistance Fund- Original payment- Additional payment- Interest distributed throughout the year > A.7.9. Payment to Settlement Assistance Fund- Original payment- Additional payment- Interest distributed throughout the year,A.7.9. Payment to Settlement Assistance Fund- Original payment- Additional payment- Interest distributed throughout the year,10.120.000.000,10.120.000.000,10120000000.0,10120000000.0
A.7.9. Payment to Settlement Assistance Fund- Original payment- Additional payment- Interest distributed throughout the year,A.7.9. Payment to Settlement Assistance Fund- Original payment- Additional payment- Interest distributed throughout the year > A.7.9. Payment to Settlement Assistance Fund- Original payment- Additional payment- Interest distributed throughout the year,A.7.9. Payment to Settlement Assistance Fund- Original payment- Additional payment- Interest distributed throughout the year,14.482.731.824,14.482.731.824,14482731824.0,14482731824.0
A.7.9. Payment to Settlement Assistance Fund- Original payment- Additional payment- Interest distributed throughout the year,A.7.9. Payment to Settlement Assistance Fund- Original payment- Additional payment- Interest distributed throughout the year > A.7.9. Payment to Settlement Assistance Fund- Original payment- Additional payment- Interest distributed throughout the year,A.7.9. Payment to Settlement Assistance Fund- Original payment- Additional payment- Interest distributed throughout the year,5.472.715.766,5.452.595.423,5472715766.0,5452595423.0
Total,A.7.9. Payment to Settlement Assistance Fund- Original payment- Additional payment- Interest distributed throughout the year > Total,Total,30.075.447.590,30.055.327.247,30075447590.0,30055327247.0
