row_label_raw,row_label_full,Items,Land use rights (*),"Copyright, patents",Software program,Other intangible fixed assets,Total,numeric__Land use rights (*),"numeric__Copyright, patents",numeric__Software program,numeric__Other intangible fixed assets,numeric__Total
Cost of intangible fixed assets,Cost of intangible fixed assets,Cost of intangible fixed assets,,,,,,,,,,
Opening balance,Cost of intangible fixed assets > Opening balance,Opening balance,19.257.558.796,7.217.666.013,18.070.143.729,367.576.900,44.912.945.438,19257558796.0,7217666013.0,18070143729.0,367576900.0,44912945438.0
- Purchase in the period,- Purchase in the period,- Purchase in the period,,,,,,,,,,
- Completed investment in capital construction,- Completed investment in capital construction,- Completed investment in capital construction,,,,,,,,,,
- Creation from internal Company,- Creation from internal Company,- Creation from internal Company,,,,,,,,,,
- Increase due to business consolidation,- Increase due to business consolidation,- Increase due to business consolidation,,,,,,,,,,
- Other increases,- Other increases,- Other increases,,,,,,,,,,
"- Liquidation, sale","- Liquidation, sale","- Liquidation, sale",,,,,,,,,,
- Other decreases,- Other decreases,- Other decreases,,,,,,,,,,
Ending balance,- Other decreases > Ending balance,Ending balance,19.257.558.796,7.217.666.013,18.070.143.729,367.576.900,44.912.945.438,19257558796.0,7217666013.0,18070143729.0,367576900.0,44912945438.0
Accumulated depreciation value,Accumulated depreciation value,Accumulated depreciation value,,,,,,,,,,
Opening balance,Accumulated depreciation value > Opening balance,Opening balance,1.053.834.723,7.217.666.013,16.042.532.960,367.576.900,24.681.610.596,1053834723.0,7217666013.0,16042532960.0,367576900.0,24681610596.0
- Depreciation in the period,Accumulated depreciation value > - Depreciation in the period,- Depreciation in the period,131.630.609,,406.636.225,,538.266.834,131630609.0,,406636225.0,,538266834.0
- Other increases,- Other increases,- Other increases,,,,,,,,,,
"- Liquidation, sale","- Liquidation, sale","- Liquidation, sale",,,,,,,,,,
- Other decreases,- Other decreases,- Other decreases,,,,,,,,,,
Ending balance,- Other decreases > Ending balance,Ending balance,1.185.465.332,7.217.666.013,16.449.169.185,367.576.900,25.219.877.430,1185465332.0,7217666013.0,16449169185.0,367576900.0,25219877430.0
Remaining value of tangible fixed assets,Remaining value of tangible fixed assets,Remaining value of tangible fixed assets,,,,,,,,,,
- At the begin of the period,Remaining value of tangible fixed assets > - At the begin of the period,- At the begin of the period,18.203.724.073,,2.027.610.769,,20.231.334.842,18203724073.0,,2027610769.0,,20231334842.0
- At the end of the period,Remaining value of tangible fixed assets > - At the end of the period,- At the end of the period,18.072.093.464,,1.620.974.544,,19.693.068.008,18072093464.0,,1620974544.0,,19693068008.0
Evaluation under fair,Evaluation under fair,Evaluation under fair,,,,,,,,,,
