row_label_raw,row_label_full,"A.7.21. Payable dividends, bond principal and interest",Ending balance,Opening balance,numeric__Ending balance,numeric__Opening balance
- Payable dividends to shareholders or profit for contributors,- Payable dividends to shareholders or profit for contributors,- Payable dividends to shareholders or profit for contributors,5.033.376.500,4.369.700.500,5033376500.0,4369700500.0
Total,Total,Total,5.033.376.500,4.369.700.500,5033376500.0,4369700500.0
A.7.22. Taxes and payables to the State,A.7.22. Taxes and payables to the State,A.7.22. Taxes and payables to the State,Ending balance,Opening balance,,
- Corporate income tax,A.7.22. Taxes and payables to the State > - Corporate income tax,- Corporate income tax,54.735.285.838,15.052.758.544,54735285838.0,15052758544.0
- Personal income tax,A.7.22. Taxes and payables to the State > - Personal income tax,- Personal income tax,15.912.581.120,14.257.605.893,15912581120.0,14257605893.0
- Other taxes,A.7.22. Taxes and payables to the State > - Other taxes,- Other taxes,2.788.594.205,1.371.156.340,2788594205.0,1371156340.0
Total,A.7.22. Taxes and payables to the State > Total,Total,73.436.461.163,30.681.520.777,73436461163.0,30681520777.0
A.7.23. Costs payable,A.7.23. Costs payable,A.7.23. Costs payable,Ending balance,Opening balance,,
"Cost of stock exchange, custody fee and transfer fee, agency fee for opening account","A.7.23. Costs payable > Cost of stock exchange, custody fee and transfer fee, agency fee for opening account","Cost of stock exchange, custody fee and transfer fee, agency fee for opening account",21.499.330.495,9.246.767.305,21499330495.0,9246767305.0
Total,A.7.23. Costs payable > Total,Total,21.499.330.495,9.246.767.305,21499330495.0,9246767305.0
A.7.24. Payable to seller,A.7.24. Payable to seller,A.7.24. Payable to seller,Ending balance,Opening balance,,
"- Branch of FPT International Telecommunications Co., Ltd","A.7.24. Payable to seller > - Branch of FPT International Telecommunications Co., Ltd","- Branch of FPT International Telecommunications Co., Ltd",968.886.432,685.088,968886432.0,685088.0
- Vietnam Cybersecurity Technology JSC,A.7.24. Payable to seller > - Vietnam Cybersecurity Technology JSC,- Vietnam Cybersecurity Technology JSC,168.000.000,,168000000.0,
"- VNCREATIVE Co., Ltd","A.7.24. Payable to seller > - VNCREATIVE Co., Ltd","- VNCREATIVE Co., Ltd",27.864.000,,27864000.0,
"- FPT Smart Cloud Co., Ltd","A.7.24. Payable to seller > - FPT Smart Cloud Co., Ltd","- FPT Smart Cloud Co., Ltd",15.120.000,63.125.260,15120000.0,63125260.0
"- Branch of Lavie Co., Ltd. - In Hanoi","A.7.24. Payable to seller > - Branch of Lavie Co., Ltd. - In Hanoi","- Branch of Lavie Co., Ltd. - In Hanoi",12.971.880,21.875.400,12971880.0,21875400.0
"- Thang Hoa Trade Investment Co., Ltd","A.7.24. Payable to seller > - Thang Hoa Trade Investment Co., Ltd","- Thang Hoa Trade Investment Co., Ltd",10.980.000,,10980000.0,
- Nguyen Viet An,A.7.24. Payable to seller > - Nguyen Viet An,- Nguyen Viet An,7.777.777,,7777777.0,
- TSC VN Technology Service Joint Stock Company,A.7.24. Payable to seller > - TSC VN Technology Service Joint Stock Company,- TSC VN Technology Service Joint Stock Company,6.701.400,8.212.400,6701400.0,8212400.0
- GSM Green and Smart Mobility JSC,A.7.24. Payable to seller > - GSM Green and Smart Mobility JSC,- GSM Green and Smart Mobility JSC,4.541.047,,4541047.0,
- FPT Telecommunications JSC,A.7.24. Payable to seller > - FPT Telecommunications JSC,- FPT Telecommunications JSC,896.500,35.346.500,896500.0,35346500.0
"- FPT Information Services Co., Ltd","A.7.24. Payable to seller > - FPT Information Services Co., Ltd","- FPT Information Services Co., Ltd",,515.680.000,,515680000.0
"- FPT Software Co., Ltd","A.7.24. Payable to seller > - FPT Software Co., Ltd","- FPT Software Co., Ltd",,250.000.800,,250000800.0
- 24 General Media JSC,A.7.24. Payable to seller > - 24 General Media JSC,- 24 General Media JSC,,46.980.000,,46980000.0
"- Green Star Hanoi Trading & Service Co., Ltd","A.7.24. Payable to seller > - Green Star Hanoi Trading & Service Co., Ltd","- Green Star Hanoi Trading & Service Co., Ltd",,17.250.000,,17250000.0
- Tam Thanh Safe Food JSC,A.7.24. Payable to seller > - Tam Thanh Safe Food JSC,- Tam Thanh Safe Food JSC,,4.223.775,,4223775.0
- 24 General Media JSC,A.7.24. Payable to seller > - 24 General Media JSC,- 24 General Media JSC,,3.640.017,,3640017.0
"- Hanoi Petroleum Investment Co., Ltd","A.7.24. Payable to seller > - Hanoi Petroleum Investment Co., Ltd","- Hanoi Petroleum Investment Co., Ltd",,2.264.400,,2264400.0
"- Mai Linh Hanoi Technology Transport Co., Ltd","A.7.24. Payable to seller > - Mai Linh Hanoi Technology Transport Co., Ltd","- Mai Linh Hanoi Technology Transport Co., Ltd",,1.850.000,,1850000.0
Total,A.7.24. Payable to seller > Total,Total,1.223.739.036,971.133.640,1223739036.0,971133640.0
A.7.25. Other payables,A.7.25. Other payables,A.7.25. Other payables,Ending balance,Opening balance,,
- Payables dividends to shareholders or profit for contributors,A.7.25. Other payables > - Payables dividends to shareholders or profit for contributors,- Payables dividends to shareholders or profit for contributors,5.033.376.500,4.369.700.500,5033376500.0,4369700500.0
- Payables to Banks (deposit to perform Government Bond and Deposit Certificates Brokerage Agreement),A.7.25. Other payables > - Payables to Banks (deposit to perform Government Bond and Deposit Certificates Brokerage Agreement),- Payables to Banks (deposit to perform Government Bond and Deposit Certificates Brokerage Agreement),501.560.329.003,1.872.874.706,501560329003.0,1872874706.0
Total,A.7.25. Other payables > Total,Total,506.593.705.503,6.242.575.206,506593705503.0,6242575206.0
