row_label_raw,row_label_full,No.,Other expenses,Current period,Previous period,numeric__Other expenses,numeric__Current period,numeric__Previous period
1,1,1,Loss from liquidation of fixed assets,17.528.404,,,17528404.0,
2,2,2,Penalties for administrative violations,27.343.919,177.505.400,,27343919.0,177505400.0
3,3,3,Expenses for Token card,168.459.600,113.017.200,,168459600.0,113017200.0
4,4,4,Bank charge of investors' transfer money,1.478.633.544,1.367.170.262,,1478633544.0,1367170262.0
5,5,5,Other expenses,66.939.896.800,54.444.453.420,,66939896800.0,54444453420.0
Total,Total,Total,Total,68.631.862.267,56.102.146.282,,68631862267.0,56102146282.0
