row_label_raw,row_label_full,A.7.4. Provision for impairment of financial assets and collateral assets,Ending balance,Opening balance,numeric__Ending balance,numeric__Opening balance
Provision for impairment of financial assets,Provision for impairment of financial assets,Provision for impairment of financial assets,,,,
Provision for impairment - Margin transactions,Provision for impairment of financial assets > Provision for impairment - Margin transactions,Provision for impairment - Margin transactions,(10.885.616.176),(10.885.616.176),-10885616176.0,-10885616176.0
Total,Provision for impairment of financial assets > Total,Total,(10.885.616.176),(10.885.616.176),-10885616176.0,-10885616176.0
A.7.5. Receivables,A.7.5. Receivables,A.7.5. Receivables,Ending balance,Opening balance,,
"A.7.5.1. Receivables, accrued dividends and interest from investments","A.7.5.1. Receivables, accrued dividends and interest from investments","A.7.5.1. Receivables, accrued dividends and interest from investments",,,,
Interest receivable on the date of receipt (Receivable from advance transactions),"A.7.5.1. Receivables, accrued dividends and interest from investments > Interest receivable on the date of receipt (Receivable from advance transactions)",Interest receivable on the date of receipt (Receivable from advance transactions),305.030.975,72.835.969,305030975.0,72835969.0
Accrual from margin trading fees and term deposit interest,"A.7.5.1. Receivables, accrued dividends and interest from investments > Accrual from margin trading fees and term deposit interest",Accrual from margin trading fees and term deposit interest,82.389.754.277,32.291.109.105,82389754277.0,32291109105.0
Total,"A.7.5.1. Receivables, accrued dividends and interest from investments > Total",Total,82.694.785.252,32.363.945.074,82694785252.0,32363945074.0
A.7.5.2. Receivable from services that the Company provides,"A.7.5.1. Receivables, accrued dividends and interest from investments > A.7.5.2. Receivable from services that the Company provides",A.7.5.2. Receivable from services that the Company provides,2.015.523.494,2.257.938.624,2015523494.0,2257938624.0
7.5.2.1. Receivable of securities brokerage fee through Stock exchange,"A.7.5.1. Receivables, accrued dividends and interest from investments > 7.5.2.1. Receivable of securities brokerage fee through Stock exchange",7.5.2.1. Receivable of securities brokerage fee through Stock exchange,668.927.397,424.805.721,668927397.0,424805721.0
7.5.2.2. Receivable of securities brokerage fee not via Stock exchange,7.5.2.2. Receivable of securities brokerage fee not via Stock exchange,7.5.2.2. Receivable of securities brokerage fee not via Stock exchange,,,,
7.5.2.3. Receivable from securities investment consultancy activities,7.5.2.3. Receivable from securities investment consultancy activities,7.5.2.3. Receivable from securities investment consultancy activities,,,,
7.5.2.4. Receivable from other consultancy activities,7.5.2.3. Receivable from securities investment consultancy activities > 7.5.2.4. Receivable from other consultancy activities,7.5.2.4. Receivable from other consultancy activities,1.325.824.000,1.544.050.000,1325824000.0,1544050000.0
7.5.2.5. Receivable from custody,7.5.2.3. Receivable from securities investment consultancy activities > 7.5.2.5. Receivable from custody,7.5.2.5. Receivable from custody,18.596.414,10.185.672,18596414.0,10185672.0
7.5.2.6. Receivable from other services,7.5.2.3. Receivable from securities investment consultancy activities > 7.5.2.6. Receivable from other services,7.5.2.6. Receivable from other services,2.175.683,278.897.231,2175683.0,278897231.0
A. 7.5.3. Receivable from securities transaction errors,A. 7.5.3. Receivable from securities transaction errors,A. 7.5.3. Receivable from securities transaction errors,,,,
A. 7.5.4. Other receivables,A. 7.5.3. Receivable from securities transaction errors > A. 7.5.4. Other receivables,A. 7.5.4. Other receivables,1.551.836.664,1.060.292.413,1551836664.0,1060292413.0
