row_label_raw,row_label_full,No.,Types of expense,Current period,Previous period,numeric__Types of expense,numeric__Current period,numeric__Previous period
1,1,1,Expense from brokerage service,187.063.982.170,180.559.800.828,,187063982170.0,180559800828.0
2,2,2,"Expense from guarantee, securities issuance agency",497.064.438,,,497064438.0,
3,3,3,Expense for consultancy of securities investment,17.663.893.732,12.090.861.938,,17663893732.0,12090861938.0
4,4,4,Custody expense,23.954.622.477,18.007.016.134,,23954622477.0,18007016134.0
5,5,5,Expense for financial consultancy,18.999.875.238,14.583.323.095,,18999875238.0,14583323095.0
6,6,6,"Expenses for provision of financial assets, dealing with losses of bad receivables and losses of financial assets and costs of loans",368.502.691.100,178.997.567.556,,368502691100.0,178997567556.0
Total,Total,Total,Total,616.682.129.155,404.238.569.545,,616682129155.0,404238569545.0
