row_label_raw,row_label_full,Items,Codes,Notes,This year,Previous year,numeric__Codes,numeric__Notes,numeric__This year,numeric__Previous year
A,A,A,B,C,1,2,,,1.0,2.0
II. Cash flows from investing activities,II. Cash flows from investing activities,II. Cash flows from investing activities,,,,,,,,
"1. Payment for purchases or construction of fixed assets, investment properties and other long term assets","II. Cash flows from investing activities > 1. Payment for purchases or construction of fixed assets, investment properties and other long term assets","1. Payment for purchases or construction of fixed assets, investment properties and other long term assets",61,,(5.745.103.400),(6.250.516.484),61.0,,-5745103400.0,-6250516484.0
2. Proceeds from liquidation and concession for sale of fixed assets and investment properties and other assets,II. Cash flows from investing activities > 2. Proceeds from liquidation and concession for sale of fixed assets and investment properties and other assets,2. Proceeds from liquidation and concession for sale of fixed assets and investment properties and other assets,62,,91.902.089,57.407.407,62.0,,91902089.0,57407407.0
Net cash flow from investing activities,II. Cash flows from investing activities > Net cash flow from investing activities,Net cash flow from investing activities,70,,(5.653.201.311),(6.193.109.077),70.0,,-5653201311.0,-6193109077.0
III. Cash flow from financing activities,III. Cash flow from financing activities,III. Cash flow from financing activities,,,,,,,,
"1. Proceeds from the issuance of bonds, or capital contributed by shareholders","III. Cash flow from financing activities > 1. Proceeds from the issuance of bonds, or capital contributed by shareholders","1. Proceeds from the issuance of bonds, or capital contributed by shareholders",71,,99.884.000.000,55.299.500.000,71.0,,99884000000.0,55299500000.0
"2. Repayment of capital contributed by Shareholders, redemption of issued shares","III. Cash flow from financing activities > 2. Repayment of capital contributed by Shareholders, redemption of issued shares","2. Repayment of capital contributed by Shareholders, redemption of issued shares",72,,,,72.0,,,
3. Borrowing,III. Cash flow from financing activities > 3. Borrowing,3. Borrowing,73,,20.739.389.769.359,14.160.228.112.821,73.0,,20739389769359.0,14160228112821.0
3.1. Borrowing from Settlement Assistance Fund,III. Cash flow from financing activities > 3.1. Borrowing from Settlement Assistance Fund,3.1. Borrowing from Settlement Assistance Fund,73.1,,,,731.0,,,
3.2. Other borrowing,III. Cash flow from financing activities > 3.2. Other borrowing,3.2. Other borrowing,73.2,,20.739.389.769.359,14.160.228.112.821,732.0,,20739389769359.0,14160228112821.0
4. Repayments of borrowings,III. Cash flow from financing activities > 4. Repayments of borrowings,4. Repayments of borrowings,74,,(17.457.223.355.387),(11.832.396.362.486),74.0,,-17457223355387.0,-11832396362486.0
4.1. Repayment principal borrowing to the settlement assistance fund,III. Cash flow from financing activities > 4.1. Repayment principal borrowing to the settlement assistance fund,4.1. Repayment principal borrowing to the settlement assistance fund,74.1,,,,741.0,,,
4.2. Repayment of borrowings for financial assets,III. Cash flow from financing activities > 4.2. Repayment of borrowings for financial assets,4.2. Repayment of borrowings for financial assets,74.2,,,,742.0,,,
4.3. Other repayments of borrowings,III. Cash flow from financing activities > 4.3. Other repayments of borrowings,4.3. Other repayments of borrowings,74.3,,(17.457.223.355.387),(11.832.396.362.486),743.0,,-17457223355387.0,-11832396362486.0
5. Payments for financial leases debts,III. Cash flow from financing activities > 5. Payments for financial leases debts,5. Payments for financial leases debts,75,,,,75.0,,,
6. Dividends paid to shareholders,III. Cash flow from financing activities > 6. Dividends paid to shareholders,6. Dividends paid to shareholders,76,,(152.296.007.000),(106.931.808.500),76.0,,-152296007000.0,-106931808500.0
Net cash flow from financing activities,III. Cash flow from financing activities > Net cash flow from financing activities,Net cash flow from financing activities,80,,3.229.754.406.972,2.276.199.441.835,80.0,,3229754406972.0,2276199441835.0
IV. Net decrease in cash during the period,III. Cash flow from financing activities > IV. Net decrease in cash during the period,IV. Net decrease in cash during the period,90,,2.348.066.300.059,(687.792.805.786),90.0,,2348066300059.0,-687792805786.0
V. Cash and cash equivalents at the beginning of the period,III. Cash flow from financing activities > V. Cash and cash equivalents at the beginning of the period,V. Cash and cash equivalents at the beginning of the period,101,,565.564.523.996,1.253.357.329.782,101.0,,565564523996.0,1253357329782.0
- Cash,III. Cash flow from financing activities > - Cash,- Cash,101.1,,155.685.498.972,415.357.329.782,1011.0,,155685498972.0,415357329782.0
- Cash equivalents,III. Cash flow from financing activities > - Cash equivalents,- Cash equivalents,101.2,,409.879.025.024,838.000.000.000,1012.0,,409879025024.0,838000000000.0
VI. Cash and cash equivalents at the end of the period,III. Cash flow from financing activities > VI. Cash and cash equivalents at the end of the period,VI. Cash and cash equivalents at the end of the period,103,,2.913.630.824.055,565.564.523.996,103.0,,2913630824055.0,565564523996.0
- Cash,III. Cash flow from financing activities > - Cash,- Cash,103.1,,1.563.630.824.055,155.685.498.972,1031.0,,1563630824055.0,155685498972.0
- Cash equivalents,III. Cash flow from financing activities > - Cash equivalents,- Cash equivalents,103.2,,1.350.000.000.000,409.879.025.024,1032.0,,1350000000000.0,409879025024.0
- The effect of exchange rate changes in foreign currency,III. Cash flow from financing activities > - The effect of exchange rate changes in foreign currency,- The effect of exchange rate changes in foreign currency,104,,,,104.0,,,
