row_label_raw,row_label_full,Items,Codes,Opening balance,Opening balance_1,Increase/decrease in the period,Increase/decrease in the period_1,Increase/decrease in the period_2,Increase/decrease in the period_3,Ending balance,Ending balance_1,numeric__Codes,numeric__Opening balance,numeric__Opening balance_1,numeric__Increase/decrease in the period,numeric__Increase/decrease in the period_1,numeric__Increase/decrease in the period_2,numeric__Increase/decrease in the period_3,numeric__Ending balance,numeric__Ending balance_1
Items,Items,Items,Codes,Previous year,Current year,Previous year,Previous year,Current year,Current year,Previous year,Current year,,,,,,,,,
Items,Items,Items,Codes,Previous year,Current year,Increase,Decrease,Increase,Decrease,Previous year,Current year,,,,,,,,,
A,Items > A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I. Changes in owners' equity,I. Changes in owners' equity,I. Changes in owners' equity,,,,,,,,,,,,,,,,,,
1. Share capital,I. Changes in owners' equity > 1. Share capital,1. Share capital,,2.145.732.618.150,3.059.276.408.150,913.543.790.000,,405.786.430.000,,3.059.276.408.150,3.465.062.838.150,,2145732618150.0,3059276408150.0,913543790000.0,,405786430000.0,,3059276408150.0,3465062838150.0
1.1. Common shares with the voting rights (*),I. Changes in owners' equity > 1.1. Common shares with the voting rights (*),1.1. Common shares with the voting rights (*),,2.145.649.870.000,3.059.193.660.000,913.543.790.000,,405.786.430.000,,3.059.193.660.000,3.464.980.090.000,,2145649870000.0,3059193660000.0,913543790000.0,,405786430000.0,,3059193660000.0,3464980090000.0
1.2. Preferred shares,1.2. Preferred shares,1.2. Preferred shares,,,,,,,,,,,,,,,,,,
1.3. Share premium,1.2. Preferred shares > 1.3. Share premium,1.3. Share premium,,82.748.150,82.748.150,,,,,82.748.150,82.748.150,,82748150.0,82748150.0,,,,,82748150.0,82748150.0
1.4. Bond swap option - capital contribution,1.4. Bond swap option - capital contribution,1.4. Bond swap option - capital contribution,,,,,,,,,,,,,,,,,,
1.5. Other capital of Investor,1.5. Other capital of Investor,1.5. Other capital of Investor,,,,,,,,,,,,,,,,,,
1.6. Treasury stocks,1.6. Treasury stocks,1.6. Treasury stocks,,,,,,,,,,,,,,,,,,
2. Reserve fund of charter capital,2. Reserve fund of charter capital,2. Reserve fund of charter capital,,,,,,,,,,,,,,,,,,
3. Financial reserve fund and operational risk,3. Financial reserve fund and operational risk,3. Financial reserve fund and operational risk,,,,,,,,,,,,,,,,,,
4. Difference from revaluation of financial assets at fair value.,4. Difference from revaluation of financial assets at fair value.,4. Difference from revaluation of financial assets at fair value.,,,,,,,,,,,,,,,,,,
5. The exchange rate differences,5. The exchange rate differences,5. The exchange rate differences,,,,,,,,,,,,,,,,,,
6. Other Funds belonging to owners' capital,6. Other Funds belonging to owners' capital,6. Other Funds belonging to owners' capital,,,,,,,,,,,,,,,,,,
7. Undistributed profit,6. Other Funds belonging to owners' capital > 7. Undistributed profit,7. Undistributed profit,,1.498.203.140.705,1.058.692.691.741,576.884.281.028,1.016.394.729.992,576.199.578.519,679.988.637.136,1.058.692.691.741,954.903.633.124,,1498203140705.0,1058692691741.0,576884281028.0,1016394729992.0,576199578519.0,679988637136.0,1058692691741.0,954903633124.0
7.1. Realized profit after tax (**),6. Other Funds belonging to owners' capital > 7.1. Realized profit after tax (**),7.1. Realized profit after tax (**),,1.163.209.696.838,573.193.957.927,416.812.204.390,1.006.827.943.301,503.365.274.477,500.543.333.439,573.193.957.927,576.015.898.965,,1163209696838.0,573193957927.0,416812204390.0,1006827943301.0,503365274477.0,500543333439.0,573193957927.0,576015898965.0
7.2. Unrealized profit,6. Other Funds belonging to owners' capital > 7.2. Unrealized profit,7.2. Unrealized profit,,334.993.443.867,485.498.733.814,160.072.076.638,9.566.786.691,72.834.304.042,179.445.303.697,485.498.733.814,378.887.734.159,,334993443867.0,485498733814.0,160072076638.0,9566786691.0,72834304042.0,179445303697.0,485498733814.0,378887734159.0
Total,6. Other Funds belonging to owners' capital > Total,Total,,3.643.935.758.855,4.117.969.099.891,1.490.428.071.028,1.016.394.729.992,981.986.008.519,679.988.637.136,4.117.969.099.891,4.419.966.471.274,,3643935758855.0,4117969099891.0,1490428071028.0,1016394729992.0,981986008519.0,679988637136.0,4117969099891.0,4419966471274.0
II. Other comprehensive income,II. Other comprehensive income,II. Other comprehensive income,,,,,,,,,,,,,,,,,,
Total,Total,Total,,,,,,,,,,,,,,,,,,
