row_label_raw,row_label_full,Items,Codes,Notes,This year,Previous year,numeric__Codes,numeric__Notes,numeric__This year,numeric__Previous year
A,A,A,B,C,1,2,,,1.0,2.0
"I. Cash flow from brokerage activities, customers' authorization","I. Cash flow from brokerage activities, customers' authorization","I. Cash flow from brokerage activities, customers' authorization",,,,,,,,
1. Proceeds from the sale of brokerage securities to customers,"I. Cash flow from brokerage activities, customers' authorization > 1. Proceeds from the sale of brokerage securities to customers",1. Proceeds from the sale of brokerage securities to customers,1,,191.373.651.523.476,146.823.476.127.761,1.0,,191373651523476.0,146823476127761.0
2. Payment for the purchase of brokerage securities to customers,"I. Cash flow from brokerage activities, customers' authorization > 2. Payment for the purchase of brokerage securities to customers",2. Payment for the purchase of brokerage securities to customers,2,,(192.469.773.889.509),(147.264.955.221.619),2.0,,-192469773889509.0,-147264955221619.0
7. Receipt of deposits for payment of customers' securities transactions,"I. Cash flow from brokerage activities, customers' authorization > 7. Receipt of deposits for payment of customers' securities transactions",7. Receipt of deposits for payment of customers' securities transactions,7,,1.726.416.162.428,(218.022.068.369),7.0,,1726416162428.0,-218022068369.0
11. Payment of customers' securities custody cost,"I. Cash flow from brokerage activities, customers' authorization > 11. Payment of customers' securities custody cost",11. Payment of customers' securities custody cost,11,,(20.523.362.193),(14.783.796.220),11.0,,-20523362193.0,-14783796220.0
12. Proceeds from stock trading errors,"I. Cash flow from brokerage activities, customers' authorization > 12. Proceeds from stock trading errors",12. Proceeds from stock trading errors,12,,,,12.0,,,
13. Payment for stock trading errors,"I. Cash flow from brokerage activities, customers' authorization > 13. Payment for stock trading errors",13. Payment for stock trading errors,13,,,,13.0,,,
14. Proceeds from securities issuers,"I. Cash flow from brokerage activities, customers' authorization > 14. Proceeds from securities issuers",14. Proceeds from securities issuers,14,,1.979.735.896.233,1.671.520.938.337,14.0,,1979735896233.0,1671520938337.0
15. Payment for securities issuers,"I. Cash flow from brokerage activities, customers' authorization > 15. Payment for securities issuers",15. Payment for securities issuers,15,,(1.979.472.432.733),(1.669.999.809.487),15.0,,-1979472432733.0,-1669999809487.0
Increase/decrease net cash in the period,"I. Cash flow from brokerage activities, customers' authorization > Increase/decrease net cash in the period",Increase/decrease net cash in the period,20,,610.033.897.702,(672.763.829.597),20.0,,610033897702.0,-672763829597.0
II. Cash and cash equivalents at the beginning of the period of customers,"I. Cash flow from brokerage activities, customers' authorization > II. Cash and cash equivalents at the beginning of the period of customers",II. Cash and cash equivalents at the beginning of the period of customers,30,,2.775.500.118.801,3.448.263.948.398,30.0,,2775500118801.0,3448263948398.0
Deposits in bank at the beginning of the period,"I. Cash flow from brokerage activities, customers' authorization > Deposits in bank at the beginning of the period",Deposits in bank at the beginning of the period,31,,,,31.0,,,
- Investors' deposits managed by the Company for securities trading activities,"I. Cash flow from brokerage activities, customers' authorization > - Investors' deposits managed by the Company for securities trading activities",- Investors' deposits managed by the Company for securities trading activities,32,,2.773.603.471.001,3.447.888.429.448,32.0,,2773603471001.0,3447888429448.0
In which: deposit account,In which: deposit account,In which: deposit account,,,,,,,,
- Deposits of securities issuers,In which: deposit account > - Deposits of securities issuers,- Deposits of securities issuers,35,,1.896.647.800,375.518.950,35.0,,1896647800.0,375518950.0
In which: deposit account,In which: deposit account,In which: deposit account,,,,,,,,
Cash equivalents,In which: deposit account > Cash equivalents,Cash equivalents,36,,,,36.0,,,
The effect of exchange rate changes in foreign currency,In which: deposit account > The effect of exchange rate changes in foreign currency,The effect of exchange rate changes in foreign currency,37,,,,37.0,,,
III. Cash and cash equivalents at the end of the period of customers (40 = 20 + 30),In which: deposit account > III. Cash and cash equivalents at the end of the period of customers (40 = 20 + 30),III. Cash and cash equivalents at the end of the period of customers (40 = 20 + 30),40,,3.385.534.016.503,2.775.500.118.801,40.0,,3385534016503.0,2775500118801.0
Deposits in bank at the end of the period:,In which: deposit account > Deposits in bank at the end of the period:,Deposits in bank at the end of the period:,41,,,,41.0,,,
- Investors' deposits managed by the Company for securities trading activities,In which: deposit account > - Investors' deposits managed by the Company for securities trading activities,- Investors' deposits managed by the Company for securities trading activities,42,C7.40,3.383.373.905.203,2.773.603.471.001,42.0,,3383373905203.0,2773603471001.0
In which: deposit account,In which: deposit account,In which: deposit account,,,,,,,,
- Deposits of securities issuers,In which: deposit account > - Deposits of securities issuers,- Deposits of securities issuers,45,C7.40,2.160.111.300,1.896.647.800,45.0,,2160111300.0,1896647800.0
In which: deposit account,In which: deposit account,In which: deposit account,,,,,,,,
Cash equivalents,In which: deposit account > Cash equivalents,Cash equivalents,46,,,,46.0,,,
The effect of exchange rate changes in foreign currency,In which: deposit account > The effect of exchange rate changes in foreign currency,The effect of exchange rate changes in foreign currency,47,,,,47.0,,,
