row_label_raw,row_label_full,Items,Codes,Notes,This year,Previous year,numeric__Codes,numeric__Notes,numeric__This year,numeric__Previous year
A,A,A,B,C,1,2,,,1.0,2.0
III. FINANCE INCOME,III. FINANCE INCOME,III. FINANCE INCOME,,,,,,,,
3.1. Realized and unrealized gain from changes in foreign exchange rate,III. FINANCE INCOME > 3.1. Realized and unrealized gain from changes in foreign exchange rate,3.1. Realized and unrealized gain from changes in foreign exchange rate,41,,,,41.0,,,
"3.2. Revenue, accrual from non-fixed interest and Total of financial operations revenue","III. FINANCE INCOME > 3.2. Revenue, accrual from non-fixed interest and Total of financial operations revenue","3.2. Revenue, accrual from non-fixed interest and Total of financial operations revenue",42,B7.33,9.261.788.347,8.827.691.678,42.0,,9261788347.0,8827691678.0
(50 = 41->44),III. FINANCE INCOME > (50 = 41->44),(50 = 41->44),50,,9.261.788.347,8.827.691.678,50.0,,9261788347.0,8827691678.0
IV. FINANCIAL EXPENSE,IV. FINANCIAL EXPENSE,IV. FINANCIAL EXPENSE,,,,,,,,
4.1. Realized and unrealized loss from changes in foreign exchange rate,IV. FINANCIAL EXPENSE > 4.1. Realized and unrealized loss from changes in foreign exchange rate,4.1. Realized and unrealized loss from changes in foreign exchange rate,51,,,,51.0,,,
4.2. Interest expense,IV. FINANCIAL EXPENSE > 4.2. Interest expense,4.2. Interest expense,52,,,,52.0,,,
4.4. Other financial expenses,IV. FINANCIAL EXPENSE > 4.4. Other financial expenses,4.4. Other financial expenses,55,,,,55.0,,,
Total of financial expense (60 = 51->55),IV. FINANCIAL EXPENSE > Total of financial expense (60 = 51->55),Total of financial expense (60 = 51->55),60,,,,60.0,,,
V. COST OF SALES,IV. FINANCIAL EXPENSE > V. COST OF SALES,V. COST OF SALES,61,,,,61.0,,,
VI. ADMINISTRATIVE EXPENSES OF SECURITIES COMPANY,IV. FINANCIAL EXPENSE > VI. ADMINISTRATIVE EXPENSES OF SECURITIES COMPANY,VI. ADMINISTRATIVE EXPENSES OF SECURITIES COMPANY,62,B7.35,85.552.355.407,89.837.818.690,62.0,,85552355407.0,89837818690.0
VII. OPERATING PROFIT (70= 20+50-40 -60-61-62),IV. FINANCIAL EXPENSE > VII. OPERATING PROFIT (70= 20+50-40 -60-61-62),VII. OPERATING PROFIT (70= 20+50-40 -60-61-62),70,,509.413.933.636,661.173.665.835,70.0,,509413933636.0,661173665835.0
