row_label_raw,row_label_full,Items,Codes,Notes,Ending balance,Opening balance,numeric__Codes,numeric__Notes,numeric__Ending balance,numeric__Opening balance
A,A,A,B,C,1,2,,,1.0,2.0
A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS,,,,
1. Leased fixed assets,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS > 1. Leased fixed assets,1. Leased fixed assets,001,,,,1.0,,,
2. Valued certificate under trust,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS > 2. Valued certificate under trust,2. Valued certificate under trust,002,,,,2.0,,,
3. Hypothecated assets,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS > 3. Hypothecated assets,3. Hypothecated assets,003,,,,3.0,,,
4. Bad debts treated,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS > 4. Bad debts treated,4. Bad debts treated,004,A.7.12,172.000.000,172.000.000,4.0,,172000000.0,172000000.0
5. Foreign currencies,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS > 5. Foreign currencies,5. Foreign currencies,005,,,,5.0,,,
6. Outstanding shares,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS > 6. Outstanding shares,6. Outstanding shares,006,,346.498.009,305.919.366,6.0,,346498009.0,305919366.0
7. Treasury stock,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS > 7. Treasury stock,7. Treasury stock,007,,,,7.0,,,
Vietnam Securities Depository of the Securities Company,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS > Vietnam Securities Depository of the Securities Company,Vietnam Securities Depository of the Securities Company,008,A.7.13,401.061.950.000,463.004.470.000,8.0,,401061950000.0,463004470000.0
9. Financial assets have been deposited at Vietnam Securities Depository and have not transacted yet,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS > 9. Financial assets have been deposited at Vietnam Securities Depository and have not transacted yet,9. Financial assets have been deposited at Vietnam Securities Depository and have not transacted yet,009,,,,9.0,,,
10. Awaiting financial assets of the Company,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS > 10. Awaiting financial assets of the Company,10. Awaiting financial assets of the Company,010,,,,10.0,,,
12. Financial assets which have not been deposited yet at Vietnam Securities Depository of the Company,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS > 12. Financial assets which have not been deposited yet at Vietnam Securities Depository of the Company,12. Financial assets which have not been deposited yet at Vietnam Securities Depository of the Company,012,A.7.14,1.722.676.440.000,206.674.730.000,12.0,,1722676440000.0,206674730000.0
13. Financial assets are entitled of the Securities Company,A. ASSETS OF THE COMPANY AND ASSETS MANAGED UNDER AGREEMENTS > 13. Financial assets are entitled of the Securities Company,13. Financial assets are entitled of the Securities Company,013,,,,13.0,,,
B. ASSETS AND PAYABLES UNDER AGREEMENT WITH CUSTOMERS,B. ASSETS AND PAYABLES UNDER AGREEMENT WITH CUSTOMERS,B. ASSETS AND PAYABLES UNDER AGREEMENT WITH CUSTOMERS,B. ASSETS AND PAYABLES UNDER AGREEMENT WITH CUSTOMERS,B. ASSETS AND PAYABLES UNDER AGREEMENT WITH CUSTOMERS,B. ASSETS AND PAYABLES UNDER AGREEMENT WITH CUSTOMERS,B. ASSETS AND PAYABLES UNDER AGREEMENT WITH CUSTOMERS,,,,
1. Financial assets listed/registered transactions of Investors,B. ASSETS AND PAYABLES UNDER AGREEMENT WITH CUSTOMERS > 1. Financial assets listed/registered transactions of Investors,1. Financial assets listed/registered transactions of Investors,021,A.7.15,35.747.373.012.145,32.467.423.084.975,21.0,,35747373012145.0,32467423084975.0
a. Financial assets are traded and freely assignable,B. ASSETS AND PAYABLES UNDER AGREEMENT WITH CUSTOMERS > a. Financial assets are traded and freely assignable,a. Financial assets are traded and freely assignable,021.1,,33.791.343.565.245,30.915.187.615.975,211.0,,33791343565245.0,30915187615975.0
b. Financial assets are restrictedly assignable,B. ASSETS AND PAYABLES UNDER AGREEMENT WITH CUSTOMERS > b. Financial assets are restrictedly assignable,b. Financial assets are restrictedly assignable,021.2,,426.953.920.000,111.405.300.000,212.0,,426953920000.0,111405300000.0
c. Mortgaged financial assets,B. ASSETS AND PAYABLES UNDER AGREEMENT WITH CUSTOMERS > c. Mortgaged financial assets,c. Mortgaged financial assets,021.3,,1.122.311.090.000,1.133.522.100.000,213.0,,1122311090000.0,1133522100000.0
d. Financial asset are temporarily suspended and isolated,B. ASSETS AND PAYABLES UNDER AGREEMENT WITH CUSTOMERS > d. Financial asset are temporarily suspended and isolated,d. Financial asset are temporarily suspended and isolated,021.4,,10.482.190.000,10.715.400.000,214.0,,10482190000.0,10715400000.0
e. Financial assets awaiting settlement,B. ASSETS AND PAYABLES UNDER AGREEMENT WITH CUSTOMERS > e. Financial assets awaiting settlement,e. Financial assets awaiting settlement,021.5,,396.282.246.900,296.592.669.000,215.0,,396282246900.0,296592669000.0
f. Financial assets awaiting lending,B. ASSETS AND PAYABLES UNDER AGREEMENT WITH CUSTOMERS > f. Financial assets awaiting lending,f. Financial assets awaiting lending,021.6,,,,216.0,,,
2. Financial assets have been deposited at Vietnam Securities Depository and not transacted yet of Investor,B. ASSETS AND PAYABLES UNDER AGREEMENT WITH CUSTOMERS > 2. Financial assets have been deposited at Vietnam Securities Depository and not transacted yet of Investor,2. Financial assets have been deposited at Vietnam Securities Depository and not transacted yet of Investor,022,A.7.16,29.941.320.000,348.008.990.000,22.0,,29941320000.0,348008990000.0
"a. Financial assets have been deposited at Vietnam Securities Depository and not transacted, freely transferred yet","B. ASSETS AND PAYABLES UNDER AGREEMENT WITH CUSTOMERS > a. Financial assets have been deposited at Vietnam Securities Depository and not transacted, freely transferred yet","a. Financial assets have been deposited at Vietnam Securities Depository and not transacted, freely transferred yet",022.1,,2.661.400.000,2.662.400.000,221.0,,2661400000.0,2662400000.0
"b. Financial assets have been deposited at Vietnam Securities Depository and not transacted yet, limited to transfer","B. ASSETS AND PAYABLES UNDER AGREEMENT WITH CUSTOMERS > b. Financial assets have been deposited at Vietnam Securities Depository and not transacted yet, limited to transfer","b. Financial assets have been deposited at Vietnam Securities Depository and not transacted yet, limited to transfer",022.2,,27.279.920.000,345.346.590.000,222.0,,27279920000.0,345346590000.0
c. Financial assets have been deposited at Vietnam Securities Depository and not transacted and pledged yet,B. ASSETS AND PAYABLES UNDER AGREEMENT WITH CUSTOMERS > c. Financial assets have been deposited at Vietnam Securities Depository and not transacted and pledged yet,c. Financial assets have been deposited at Vietnam Securities Depository and not transacted and pledged yet,022.3,,,,223.0,,,
"d. Financial assets have been deposited at Vietnam Securities Depository and not transacted, blockaded or temporarily held","B. ASSETS AND PAYABLES UNDER AGREEMENT WITH CUSTOMERS > d. Financial assets have been deposited at Vietnam Securities Depository and not transacted, blockaded or temporarily held","d. Financial assets have been deposited at Vietnam Securities Depository and not transacted, blockaded or temporarily held",022.4,,,,224.0,,,
3. Awaiting financial assets of Investors,B. ASSETS AND PAYABLES UNDER AGREEMENT WITH CUSTOMERS > 3. Awaiting financial assets of Investors,3. Awaiting financial assets of Investors,023,A.7.17,440.811.306.525,332.380.238.600,23.0,,440811306525.0,332380238600.0
4. Financial assets correct transaction errors of Investors,4. Financial assets correct transaction errors of Investors,4. Financial assets correct transaction errors of Investors,024.a,,,,,,,
