row_label_raw,row_label_full,Mr Nguyen Diep Tung,General Director,numeric__General Director
Mr Nguyen Van Dung,Mr Nguyen Van Dung,Mr Nguyen Van Dung,"Deputy General Director (Dismissed on July 23, 2025)",
Ms Nguyen Thi Thu Huong,Ms Nguyen Thi Thu Huong,Ms Nguyen Thi Thu Huong,Deputy General Director,
Ms Nguyen Thi Hanh,Ms Nguyen Thi Hanh,Ms Nguyen Thi Hanh,"Deputy General Director (Appointed on July 23, 2025)",
