row_label_raw,row_label_full,Financial assets,Ending balance,Opening balance,numeric__Ending balance,numeric__Opening balance
Financial assets are entitled of Investor,Financial assets are entitled of Investor,Financial assets are entitled of Investor,60.760.470.000,56.090.720.000,60760470000.0,56090720000.0
Total,Total,Total,60.760.470.000,56.090.720.000,60760470000.0,56090720000.0
