row_label_raw,row_label_full,Other types of operating income,This period,Previous period,numeric__This period,numeric__Previous period
1. From FVTPL financial asset,1. From FVTPL financial asset,1. From FVTPL financial asset,171.122.620.353,92.466.782.718,171122620353.0,92466782718.0
1.1. Dividend and interest on bonds,1.1. Dividend and interest on bonds,1.1. Dividend and interest on bonds,90.154.909.349,41.591.673.934,90154909349.0,41591673934.0
"1.2. Interest on term deposits, certificate of deposits","1.2. Interest on term deposits, certificate of deposits","1.2. Interest on term deposits, certificate of deposits",80.967.711.004,50.875.108.784,80967711004.0,50875108784.0
2. From HTM financial assets,2. From HTM financial assets,2. From HTM financial assets,,,,
3. From loans,2. From HTM financial assets > 3. From loans,3. From loans,753.622.810.833,589.269.375.765,753622810833.0,589269375765.0
4. From AFS,4. From AFS,4. From AFS,,,,
Total,4. From AFS > Total,Total,924.745.431.186,681.736.158.483,924745431186.0,681736158483.0
