row_label_raw,row_label_full,A.7.1. Cash and cash equivalents,A.7.1. Cash and cash equivalents_1,A.7.1. Cash and cash equivalents_2,numeric__A.7.1. Cash and cash equivalents_1,numeric__A.7.1. Cash and cash equivalents_2
,,,Ending balance,Opening balance,,
- Cash on hand,- Cash on hand,- Cash on hand,112.759.447,120.717.139,112759447.0,120717139.0
- Deposit at bank for activities of securities company,- Deposit at bank for activities of securities company,- Deposit at bank for activities of securities company,1.563.518.064.608,155.564.781.833,1563518064608.0,155564781833.0
- Cash equivalents (*),- Cash equivalents (*),- Cash equivalents (*),1.350.000.000.000,409.879.025.024,1350000000000.0,409879025024.0
Total,Total,Total,2.913.630.824.055,565.564.523.996,2913630824055.0,565564523996.0
