row_label_raw,row_label_full,Items,Codes,Notes,This year,Previous year,numeric__Codes,numeric__Notes,numeric__This year,numeric__Previous year
A,A,A,B,C,1,2,,,1.0,2.0
I. Cash flow from operating activities,I. Cash flow from operating activities,I. Cash flow from operating activities,0,,,,0.0,,,
1. Profit before Corporate Income Tax,1. Profit before Corporate Income Tax,1. Profit before Corporate Income Tax,01,,510.693.580.825,663.173.267.145,1.0,,510693580825.0,663173267145.0
2. Adjustments for the items:,2. Adjustments for the items:,2. Adjustments for the items:,02,,(34.619.492.527),34.859.019.826,2.0,,-34619492527.0,34859019826.0
- Depreciation of fixed assets,- Depreciation of fixed assets,- Depreciation of fixed assets,03,,15.527.591.330,19.145.813.755,3.0,,15527591330.0,19145813755.0
- Provisions,- Provisions,- Provisions,04,,25.935.000,15.150.000,4.0,,25935000.0,15150000.0
- Interest expense,- Interest expense,- Interest expense,06,,,,6.0,,,
"- Profit, loss from investment activities","- Profit, loss from investment activities","- Profit, loss from investment activities",07,,(74.373.685),(57.407.407),7.0,,-74373685.0,-57407407.0
- Accrued interests,- Accrued interests,- Accrued interests,08,,(50.098.645.172),15.755.463.478,8.0,,-50098645172.0,15755463478.0
- Other adjustments,- Other adjustments,- Other adjustments,09,,,,9.0,,,
3. Increase non-monetary expenses,3. Increase non-monetary expenses,3. Increase non-monetary expenses,10,,(366.899),(1.985.477),10.0,,-366899.0,-1985477.0
- Loss from re-evaluating of financial assets at FVTPL,- Loss from re-evaluating of financial assets at FVTPL,- Loss from re-evaluating of financial assets at FVTPL,11,,(366.899),(1.985.477),11.0,,-366899.0,-1985477.0
4. Reduce non-monetary revenue,4. Reduce non-monetary revenue,4. Reduce non-monetary revenue,18,,106.611.366.554,(150.503.304.470),18.0,,106611366554.0,-150503304470.0
- Profit from re-evaluating of financial assets at FVTPL,- Profit from re-evaluating of financial assets at FVTPL,- Profit from re-evaluating of financial assets at FVTPL,19,,106.611.366.554,(150.503.304.470),19.0,,106611366554.0,-150503304470.0
5. Profits from business operations before changes in working capital,5. Profits from business operations before changes in working capital,5. Profits from business operations before changes in working capital,30,,(1.458.719.993.555),(3.505.326.135.568),30.0,,-1458719993555.0,-3505326135568.0
- Increase (decrease) in financial assets at FVTPL,- Increase (decrease) in financial assets at FVTPL,- Increase (decrease) in financial assets at FVTPL,31,,(701.363.032.298),(414.216.654.670),31.0,,-701363032298.0,-414216654670.0
- Increase (decrease) in loans,- Increase (decrease) in loans,- Increase (decrease) in loans,33,,(1.179.999.592.610),(1.674.066.439.441),33.0,,-1179999592610.0,-1674066439441.0
"- Increase (decrease) the receivables and accrued dividends, interests of financial assets","- Increase (decrease) the receivables and accrued dividends, interests of financial assets","- Increase (decrease) the receivables and accrued dividends, interests of financial assets",36,,(232.195.006),155.222.403,36.0,,-232195006.0,155222403.0
- Increase (decrease) the receivables of services that Securities Company provides,- Increase (decrease) the receivables of services that Securities Company provides,- Increase (decrease) the receivables of services that Securities Company provides,37,,242.415.130,597.308.368,37.0,,242415130.0,597308368.0
- Increase (decrease) other receivables,- Increase (decrease) other receivables,- Increase (decrease) other receivables,39,,1.081.810.858,1.188.339.443,39.0,,1081810858.0,1188339443.0
- Increase (decrease) other assets,- Increase (decrease) other assets,- Increase (decrease) other assets,40,,302.627.589,40.225.599,40.0,,302627589.0,40225599.0
- Increase (decrease) the payable costs (excluding interests),- Increase (decrease) the payable costs (excluding interests),- Increase (decrease) the payable costs (excluding interests),41,,14.695.607.748,4.982.930.767,41.0,,14695607748.0,4982930767.0
- Increase (decrease) the prepaid costs,- Increase (decrease) the prepaid costs,- Increase (decrease) the prepaid costs,42,,1.225.955.667,(4.438.232.424),42.0,,1225955667.0,-4438232424.0
- Corporate income tax paid,- Corporate income tax paid,- Corporate income tax paid,43,,(74.256.778.709),(99.881.896.967),43.0,,-74256778709.0,-99881896967.0
- Interest expenses paid,- Interest expenses paid,- Interest expenses paid,44,,,,44.0,,,
- Increase (decrease) the payables,- Increase (decrease) the payables,- Increase (decrease) the payables,45,,252.605.396,529.049.673,45.0,,252605396.0,529049673.0
- Increase (decrease) deductions for employee benefits,- Increase (decrease) deductions for employee benefits,- Increase (decrease) deductions for employee benefits,46,,102.666.225,283.930.182,46.0,,102666225.0,283930182.0
- Increase (decrease) taxes and contributions to the State (excluding the paid corporate income tax),- Increase (decrease) taxes and contributions to the State (excluding the paid corporate income tax),- Increase (decrease) taxes and contributions to the State (excluding the paid corporate income tax),47,,3.072.413.092,2.173.905.105,47.0,,3072413092.0,2173905105.0
- Increase (decrease) payable to employees,- Increase (decrease) payable to employees,- Increase (decrease) payable to employees,48,,128.250.305,527.056.741,48.0,,128250305.0,527056741.0
- Increase (decrease) other payables,- Increase (decrease) other payables,- Increase (decrease) other payables,50,,500.326.629.297,(1.300.275.558.889),50.0,,500326629297.0,-1300275558889.0
- Proceeds from business activities,- Proceeds from business activities,- Proceeds from business activities,51,,861.290.770,251.000.000,51.0,,861290770.0,251000000.0
- Payments from business activities,- Payments from business activities,- Payments from business activities,52,,(25.160.667.009),(23.176.321.458),52.0,,-25160667009.0,-23176321458.0
Net cash flow from operating activities,Net cash flow from operating activities,Net cash flow from operating activities,60,,(876.034.905.602),(2.957.799.138.544),60.0,,-876034905602.0,-2957799138544.0
