row_label_raw,row_label_full,Chỉ tiêu,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
Lợi nhuận kế toán sau thuế thu nhập doanh nghiệp,Lợi nhuận kế toán sau thuế thu nhập doanh nghiệp,Lợi nhuận kế toán sau thuế thu nhập doanh nghiệp,396.754.274.822,567.317.494.337,396754274822.0,567317494337.0
Lợi nhuận/(Lỗ) phân bổ cho cổ đông sở hữu CP phổ thông,Lợi nhuận/(Lỗ) phân bổ cho cổ đông sở hữu CP phổ thông,Lợi nhuận/(Lỗ) phân bổ cho cổ đông sở hữu CP phổ thông,396.754.274.822,567.317.494.337,396754274822.0,567317494337.0
Quỹ khen thưởng phúc lợi,Quỹ khen thưởng phúc lợi,Quỹ khen thưởng phúc lợi,,41.681.220.439,,41681220439.0
CP phổ thông đang lưu hành bình quân trong kỳ,CP phổ thông đang lưu hành bình quân trong kỳ,CP phổ thông đang lưu hành bình quân trong kỳ,341.681.685,303.532.120,341681685.0,303532120.0
Lãi/(Lỗ) cơ bản trên cổ phiếu,Lãi/(Lỗ) cơ bản trên cổ phiếu,Lãi/(Lỗ) cơ bản trên cổ phiếu,1.161,1.732,1161.0,1732.0
