row_label_raw,row_label_full,STT,Các loại tài sản tài chính,Số cuối năm > Giá mua,Số cuối năm > Giá trị thị trường hoặc giá trị hợp lý kỳ này,Số cuối năm > CL đánh giá kỳ này > Chênh lệch tăng,Số cuối năm > CL đánh giá kỳ này > Chênh lệch giảm,Số cuối năm > Giá trị đánh giá lại,Số đầu năm > Giá mua,Số đầu năm > Giá trị thị trường hoặc giá trị hợp lý kỳ trước,Số đầu năm > CL đánh giá kỳ trước > Chênh lệch tăng,Số đầu năm > CL đánh giá kỳ trước > Chênh lệch giảm,Số đầu năm > Giá trị đánh giá lại,numeric__Các loại tài sản tài chính,numeric__Số cuối năm > Giá mua,numeric__Số cuối năm > Giá trị thị trường hoặc giá trị hợp lý kỳ này,numeric__Số cuối năm > CL đánh giá kỳ này > Chênh lệch tăng,numeric__Số cuối năm > CL đánh giá kỳ này > Chênh lệch giảm,numeric__Số cuối năm > Giá trị đánh giá lại,numeric__Số đầu năm > Giá mua,numeric__Số đầu năm > Giá trị thị trường hoặc giá trị hợp lý kỳ trước,numeric__Số đầu năm > CL đánh giá kỳ trước > Chênh lệch tăng,numeric__Số đầu năm > CL đánh giá kỳ trước > Chênh lệch giảm,numeric__Số đầu năm > Giá trị đánh giá lại
A,A,A,B,1,2,3=(2-1),4=(1-2),5=(1+3-4),6,7,8=(7-6),9=(6-7),10=(6+8-9),,1.0,2.0,,,,6.0,7.0,,,
I,I,I,FVTPL,,,,,,,,,,,,,,,,,,,,,
1,I > 1,1,Cổ phiếu,14.065.219.389,392.952.953.548,378.891.655.515,3.921.356,392.952.953.548,16.595.890.833,502.094.624.647,485.503.022.069,4.288.255,502.094.624.647,,14065219389.0,392952953548.0,378891655515.0,3921356.0,392952953548.0,16595890833.0,502094624647.0,485503022069.0,4288255.0,502094624647.0
1.1,I > 1.1,1.1,"Cổ phiếu niêm yết, đăng ký ĐG",12.039.250.985,390.926.985.144,378.891.655.515,3.921.356,390.926.985.144,14.571.814.929,500.070.548.743,485.503.022.069,4.288.255,500.070.548.743,,12039250985.0,390926985144.0,378891655515.0,3921356.0,390926985144.0,14571814929.0,500070548743.0,485503022069.0,4288255.0,500070548743.0
,,,MSH- Công ty cổ phần May Sông Hồng,10.946.813.906,389.400.000.000,378.453.186.094,,389.400.000.000,13.454.983.050,498.787.640.000,485.332.656.950,,498.787.640.000,,10946813906.0,389400000000.0,378453186094.0,,389400000000.0,13454983050.0,498787640000.0,485332656950.0,,498787640000.0
,,,Cổ phiếu niêm yết khác,1.092.437.079,1.526.985.144,438.469.421,3.921.356,1.526.985.144,1.116.831.879,1.282.908.743,170.365.119,4.288.255,1.282.908.743,,1092437079.0,1526985144.0,438469421.0,3921356.0,1526985144.0,1116831879.0,1282908743.0,170365119.0,4288255.0,1282908743.0
1.2,I > 1.2,1.2,Cổ phiếu chưa niêm yết,2.025.968.404,2.025.968.404,,,2.025.968.404,2.024.075.904,2.024.075.904,,,2.024.075.904,,2025968404.0,2025968404.0,,,2025968404.0,2024075904.0,2024075904.0,,,2024075904.0
,,,CIC8 - CTCP đầu tư xây dựng số 8,2.000.000.000,2.000.000.000,,,2.000.000.000,2.000.000.000,2.000.000.000,,,2.000.000.000,,2000000000.0,2000000000.0,,,2000000000.0,2000000000.0,2000000000.0,,,2000000000.0
,,,Cổ phiếu chưa niêm yết khác,25.968.404,25.968.404,,,25.968.404,24.075.904,24.075.904,,,24.075.904,,25968404.0,25968404.0,,,25968404.0,24075904.0,24075904.0,,,24075904.0
2,I > 2,2,Trải phiếu,1.989.652.500.000,1.989.652.500.000,,,1.989.652.500.000,679.940.500.000,679.940.500.000,,,679.940.500.000,,1989652500000.0,1989652500000.0,,,1989652500000.0,679940500000.0,679940500000.0,,,679940500000.0
3,I > 3,3,"Tiền gửi có kỳ hạn cố định, chứng chỉ tiền gửi",126.181.703.742,126.181.703.742,,,126.181.703.742,732.000.000.000,732.000.000.000,,,732.000.000.000,,126181703742.0,126181703742.0,,,126181703742.0,732000000000.0,732000000000.0,,,732000000000.0
II,II,II,AFS,,,,,,,,,,,,,,,,,,,,,
,,,Cộng,2.129.899.423.131,2.508.787.157.290,378.891.655.515,3.921.356,2.508.787.157.290,1.428.536.390.833,1.914.035.124.647,485.503.022.069,4.288.255,1.914.035.124.647,,2129899423131.0,2508787157290.0,378891655515.0,3921356.0,2508787157290.0,1428536390833.0,1914035124647.0,485503022069.0,4288255.0,1914035124647.0
