row_label_raw,row_label_full,CHỈ TIÊU,Khối lượng giao dịch thực hiện năm 2025,Giá trị khối lượng giao dịch thực hiện trong năm 2025,numeric__Khối lượng giao dịch thực hiện năm 2025,numeric__Giá trị khối lượng giao dịch thực hiện trong năm 2025
a) Của CTCK,a) Của CTCK,a) Của CTCK,,,,
- Cổ phiếu,a) Của CTCK > - Cổ phiếu,- Cổ phiếu,2.605.905,105.556.693.750,2605905.0,105556693750.0
- Trái phiếu,a) Của CTCK > - Trái phiếu,- Trái phiếu,171.080.000,19.174.700.260.000,171080000.0,19174700260000.0
- Chứng khoán ngân quỹ,- Chứng khoán ngân quỹ,- Chứng khoán ngân quỹ,,,,
- Chứng khoán khác,- Chứng khoán ngân quỹ > - Chứng khoán khác,- Chứng khoán khác,2.000,24.370.000,2000.0,24370000.0
Cộng,- Chứng khoán ngân quỹ > Cộng,Cộng,173.687.905,19.280.281.323.750,173687905.0,19280281323750.0
b) Của Nhà đầu tư,b) Của Nhà đầu tư,b) Của Nhà đầu tư,,,,
- Cổ phiếu,b) Của Nhà đầu tư > - Cổ phiếu,- Cổ phiếu,16.271.334.819,381.717.089.771.330,16271334819.0,381717089771330.0
- Trái phiếu,b) Của Nhà đầu tư > - Trái phiếu,- Trái phiếu,175.417,20.628.125.695,175417.0,20628125695.0
- Chứng khoán khác,b) Của Nhà đầu tư > - Chứng khoán khác,- Chứng khoán khác,889.252.738,1.383.917.260.960,889252738.0,1383917260960.0
Cộng,b) Của Nhà đầu tư > Cộng,Cộng,17.160.762.974,383.121.635.157.985,17160762974.0,383121635157985.0
