row_label_raw,row_label_full,STT,Các loại doanh thu hoạt động khác,Năm nay,Năm trước,numeric__Các loại doanh thu hoạt động khác,numeric__Năm nay,numeric__Năm trước
1,1,1,Doanh thu đại lý đấu giá,,,,,
2,1 > 2,2,"Doanh thu từ trả hộ gốc, lãi trái phiếu và cổ tức của TCPH",58.633.729,91.500.000,,58633729.0,91500000.0
3,1 > 3,3,Phí quản lý tài sản cầm cố,30.700.000,40.800.000,,30700000.0,40800000.0
4,1 > 4,4,Doanh thu khác,492.490.000,143.080.000,,492490000.0,143080000.0
Cộng,1 > Cộng,Cộng,Cộng,581.823.729,275.380.000,,581823729.0,275380000.0
