row_label_raw,row_label_full,Related parties,Relative,numeric__Relative
"SBI FINANCIAL SERVICES CO., LTD","SBI FINANCIAL SERVICES CO., LTD","SBI FINANCIAL SERVICES CO., LTD",Major shareholder,
FPT Corporation,FPT Corporation,FPT Corporation,Major shareholder,
"FPT IS Co., Ltd","FPT IS Co., Ltd","FPT IS Co., Ltd",Related party,
Song Hong Garment JSC,Song Hong Garment JSC,Song Hong Garment JSC,Related party (from 23/07/2025),
"The Board of Directors, the Board of Management, Audit Committee, Chief Accountant, Person authorized to disclose information","The Board of Directors, the Board of Management, Audit Committee, Chief Accountant, Person authorized to disclose information","The Board of Directors, the Board of Management, Audit Committee, Chief Accountant, Person authorized to disclose information",Executive Board and key personnel,
