row_label_raw,row_label_full,Item,In 2025,In 2024,Change (%),numeric__In 2025,numeric__In 2024,numeric__Change (%)
Item,Item,Item,(Million VND),(Million VND),Change (%),,,
Operating income and financial investment revenue,Item > Operating income and financial investment revenue,Operating income and financial investment revenue,"1,215.070","1,156.576",5.06%,1.21507,1.156576,5.06
In which Realized,Item > In which Realized,In which Realized,"1,321.681","1,006.073",31.37%,1.321681,1.006073,31.37
Unrealized,Item > Unrealized,Unrealized,"-106,611","150,503",,-106.611,150.503,
Total expenses,Item > Total expenses,Total expenses,"705,656","495,403",42.44%,705.656,495.403,42.44
Profit before tax,Item > Profit before tax,Profit before tax,"510,694","663,173",-22.99%,510.694,663.173,-22.99
In which Realized,Item > In which Realized,In which Realized,"617,305","512,668",20.41%,617.305,512.668,20.41
Unrealized,Item > Unrealized,Unrealized,"-106,611","150,505",,-106.611,150.505,
Corporate income tax,Item > Corporate income tax,Corporate income tax,"113,939","95,856",18.86%,113.939,95.856,18.86
Profit after tax,Item > Profit after tax,Profit after tax,"396,754","567,317",-30.06%,396.754,567.317,-30.06
In which Realized,Item > In which Realized,In which Realized,"503,366","416,812",20.77%,503.366,416.812,20.77
Unrealized,Item > Unrealized,Unrealized,"-106,611","150,505",,-106.611,150.505,
