row_label_raw,row_label_full,Items,Codes,Notes,This year,Previous year,numeric__Codes,numeric__Notes,numeric__This year,numeric__Previous year
A,A,A,B,C,1,2,,,1.0,2.0
I. OPERATING INCOME,I. OPERATING INCOME,I. OPERATING INCOME,I. OPERATING INCOME,I. OPERATING INCOME,I. OPERATING INCOME,I. OPERATING INCOME,,,,
1.1. Gain from Financial assets at Fair Value through Profit and Loss (FVTPL),I. OPERATING INCOME > 1.1. Gain from Financial assets at Fair Value through Profit and Loss (FVTPL),1.1. Gain from Financial assets at Fair Value through Profit and Loss (FVTPL),01,,157.758.123.718,245.487.971.843,1.0,,157758123718.0,245487971843.0
a. Gain from selling financial assets at FVTPL,I. OPERATING INCOME > a. Gain from selling financial assets at FVTPL,a. Gain from selling financial assets at FVTPL,01.1,B7.32.1,93.246.869.919,2.517.884.655,11.0,,93246869919.0,2517884655.0
b. Gain from re-evaluation of financial assets at FVTPL,I. OPERATING INCOME > b. Gain from re-evaluation of financial assets at FVTPL,b. Gain from re-evaluation of financial assets at FVTPL,01.2,B7.32.2,(106.611.366.554),150.503.304.470,12.0,,-106611366554.0,150503304470.0
"c. Dividends, interests income from financial assets at FVTPL","I. OPERATING INCOME > c. Dividends, interests income from financial assets at FVTPL","c. Dividends, interests income from financial assets at FVTPL",01.3,B7.32.3.1,171.122.620.353,92.466.782.718,13.0,,171122620353.0,92466782718.0
1.2. Interests from the holding investments to maturity date (HTM),I. OPERATING INCOME > 1.2. Interests from the holding investments to maturity date (HTM),1.2. Interests from the holding investments to maturity date (HTM),02,,,,2.0,,,
1.3. Interests from loans and receivables,I. OPERATING INCOME > 1.3. Interests from loans and receivables,1.3. Interests from loans and receivables,03,B7.32.3.3,753.622.810.833,589.269.375.765,3.0,,753622810833.0,589269375765.0
1.4. Gain from available for sale (AFS) financial assets,I. OPERATING INCOME > 1.4. Gain from available for sale (AFS) financial assets,1.4. Gain from available for sale (AFS) financial assets,04,,,,4.0,,,
1.5. Gains from hedging derivatives,I. OPERATING INCOME > 1.5. Gains from hedging derivatives,1.5. Gains from hedging derivatives,05,,,,5.0,,,
1.6. Revenue from brokerage services,I. OPERATING INCOME > 1.6. Revenue from brokerage services,1.6. Revenue from brokerage services,06,,215.508.563.439,250.438.462.655,6.0,,215508563439.0,250438462655.0
"1.7. Revenue from guarantee, securities issuance agent","I. OPERATING INCOME > 1.7. Revenue from guarantee, securities issuance agent","1.7. Revenue from guarantee, securities issuance agent",07,,558.836.092,,7.0,,558836092.0,
1.8. Revenue from securities investment consultancy,I. OPERATING INCOME > 1.8. Revenue from securities investment consultancy,1.8. Revenue from securities investment consultancy,08,,13.591.833.214,13.221.047.441,8.0,,13591833214.0,13221047441.0
1.9. Revenue from custody securities,I. OPERATING INCOME > 1.9. Revenue from custody securities,1.9. Revenue from custody securities,09,,19.251.565.091,12.561.057.592,9.0,,19251565091.0,12561057592.0
1.10. Revenue from financial advisory activities,I. OPERATING INCOME > 1.10. Revenue from financial advisory activities,1.10. Revenue from financial advisory activities,10,,44.934.544.886,36.495.235.764,10.0,,44934544886.0,36495235764.0
1.11. Revenue from other activities.,I. OPERATING INCOME > 1.11. Revenue from other activities.,1.11. Revenue from other activities.,11,B7.32.4,581.823.729,275.380.000,11.0,,581823729.0,275380000.0
Total of operating revenue (20 = 1->11),I. OPERATING INCOME > Total of operating revenue (20 = 1->11),Total of operating revenue (20 = 1->11),20,,1.205.808.101.002,1.147.748.531.060,20.0,,1205808101002.0,1147748531060.0
