row_label_raw,row_label_full,Overdue time,Premium rate,numeric__Premium rate
From over six (6) months to less than one (1) year,From over six (6) months to less than one (1) year,From over six (6) months to less than one (1) year,30%,0.3
From one (1) year to less than two (2) years,From one (1) year to less than two (2) years,From one (1) year to less than two (2) years,50%,0.5
From two (2) years to less than three (3) years,From two (2) years to less than three (3) years,From two (2) years to less than three (3) years,70%,0.7
From three (3) years and above,From three (3) years and above,From three (3) years and above,100%,1.0
