row_label_raw,row_label_full,Financial assets,Ending balance,Opening balance,numeric__Ending balance,numeric__Opening balance
Awaiting financial assets of Investor,Awaiting financial assets of Investor,Awaiting financial assets of Investor,440.811.306.525,332.380.238.600,440811306525.0,332380238600.0
Total,Total,Total,440.811.306.525,332.380.238.600,440811306525.0,332380238600.0
